id,name,glottocode,iso639_3,macroarea,latitude,longitude,family
1,Balinese,bali1278,ban,Papunesia,-8.35714,115.075,Austronesian
2,Banggai (W.dialect),bang1368,bgz,Papunesia,-1.58305,123.171,Austronesian
3,Banggi,bong1289,bdg,Papunesia,7.29249,117.174,Austronesian
4,Banoni,bann1247,bcm,Papunesia,-6.23061,155.128,Austronesian
5,Bantik,bant1286,bnq,Papunesia,1.44586,124.846,Austronesian
6,Gayo,gayo1244,gay,Papunesia,4.3733,97.3456,Austronesian
7,Gedaged,geda1237,gdd,Papunesia,-5.18175,145.781,Austronesian
8,Geser,gese1240,ges,Papunesia,-3.8016,130.701,Austronesian
9,Ghari,ghar1239,gri,Papunesia,-9.4791,159.917,Austronesian
10,Gimán,gane1237,gzn,Papunesia,-0.42618,127.976,Austronesian
11,Fijian (Bau),bauu1243,fij,Papunesia,,,Austronesian
12,Gorontalo (Hulondalo),goro1259,gor,Papunesia,0.62689,122.288,Austronesian
13,Hanunóo,hanu1241,hnn,Papunesia,12.4159,121.221,Austronesian
14,Bima,bima1247,bhp,Papunesia,-8.57376,118.445,Austronesian
15,Bintulu,bint1246,bny,Papunesia,3.867,113.634,Austronesian
16,Bobot,bobo1254,bty,Papunesia,-3.43514,130.179,Austronesian
17,Bonerate,bone1254,bna,Papunesia,-7.37657,121.792,Austronesian
18,Chamorro,cham1312,cha,Papunesia,13.438011,144.74474,Austronesian
19,Canala,xara1244,ane,Papunesia,-21.7034,165.996,Austronesian
20,Javanese,java1254,jav,Papunesia,-7.001,109.287,Austronesian
21,Kilokaka (Ysabel),zaza1245,jaj,Papunesia,-8.18719,159.255,Austronesian
22,Timugon (Murut),timu1262,tih,Papunesia,5.1796,115.826,Austronesian
23,Kis,kiss1246,kis,Papunesia,-3.83909,143.96,Austronesian
24,Mor,morm1235,mhz,Papunesia,-2.87055,135.95,Austronesian
25,Mota,mota1237,mtt,Papunesia,-13.835361,167.690924,Austronesian
26,Motu,motu1246,meu,Papunesia,-9.67492,147.424,Austronesian
27,Muna (Katobu-Tongkuno Dialect),muna1247,mnb,Papunesia,-5.40419,122.541,Austronesian
28,Iban,iban1264,iba,Papunesia,2.09041,112.934,Austronesian
29,Kaidipang,kaid1239,kzp,Papunesia,0.85641,123.217,Austronesian
30,Kairiru,kair1263,kxa,Papunesia,-3.34608,143.558,Austronesian
31,Kakiduge:n Ilongot,ilon1239,ilk,Papunesia,16.3785,121.547,Austronesian
32,Kambera,kamb1299,xbr,Papunesia,-9.88447,120.235,Austronesian
33,Kapampangan,pamp1243,pam,Papunesia,14.9603,120.502,Austronesian
34,Lamaholot Ile Mandiri (Flores Timur),lama1277,slp,Papunesia,-8.36439,122.803,Austronesian
35,Iliun (Erai),eray1237,ilu,Papunesia,,,Austronesian
36,"Bontok, Guina-ang",guin1256,lbk,Papunesia,,,Austronesian
37,Bughotu,bugh1239,bgt,Papunesia,-8.47948,159.802,Austronesian
38,Marquesan,nort2845,mrq,Papunesia,-8.89412,-140.108,Austronesian
39,Ali,kapp1237,ykm,Papunesia,-3.28761,142.659,Austronesian
40,Ambai (Yapen),amba1265,amk,Papunesia,-1.88126,136.526,Austronesian
41,Mori,mori1268,xmz,Papunesia,-2.56016,121.37,Austronesian
42,Atoni,uabm1237,aoz,Papunesia,-9.77284,124.144,Austronesian
43,Aklanon - Bisayan,akla1241,akl,Papunesia,11.5543,122.354,Austronesian
44,Babatana,baba1268,baa,Papunesia,-7.22281,157.149,Austronesian
45,Berawan (Long Terawan),west2564,zbw,Papunesia,3.9815,114.528,Austronesian
46,Biga (Misool),matb1237,xmt,Papunesia,-1.8801,130.075,Austronesian
47,Bikol (Naga City),cent2087,bcl,Papunesia,13.7574,123.403,Austronesian
48,Buginese (Soppeng Dialect),bugi1244,bug,Papunesia,-4.47,119.977,Austronesian
49,Buli,buli1255,bzq,Papunesia,1.0008,128.443,Austronesian
50,Buru [Namrole Bay],buru1303,mhs,Papunesia,-3.43957,126.632,Austronesian
51,Bwaidoga,bwai1243,bwd,Papunesia,,,Austronesian
52,Hawaiian,hawa1245,haw,Papunesia,19.6297,-155.43,Austronesian
53,Hitu (Ambon),hitu1239,htu,Papunesia,-3.57478,128.186,Austronesian
54,Hoava,hoav1238,hoa,Papunesia,-8.19679,157.595,Austronesian
55,Kasira (Irahutu),irar1238,irh,Papunesia,-2.94438,133.586,Austronesian
56,Kaulong (Au Village),kaul1240,pss,Papunesia,-6.08192,149.696,Austronesian
57,Kayupulau [Kajupulau],kayu1243,kzu,Papunesia,-2.54415,140.626,Austronesian
58,Rarotongan,raro1241,rar,Papunesia,-21.23,-159.78,Austronesian
59,Kei (Tanimbar-Kei),keii1239,kei,Papunesia,-5.63948,133.02,Austronesian
60,Kelabit (Bario),kela1258,kzi,Papunesia,3.31783,115.428,Austronesian
61,Kemak,kema1243,kem,Papunesia,-9.00299,125.159,Austronesian
62,Kenyah (Long Anap),main1275,xkl,Papunesia,3.42975,116.47431,Austronesian
63,Kerinci,keri1250,kvr,Papunesia,-1.93668,101.403,Austronesian
64,Nukuoro,nuku1260,nkr,Papunesia,3.84,154.975,Austronesian
65,Kusaie,kosr1238,kos,Papunesia,5.31,162.98,Austronesian
