,Raga,Taokas Ts82,Chuukese,Proto-Mon-Khmer,Jawe,Muyuw,Novol (Usus - Dixon Reef),Hoanya Ts82,Dayak Ngaju,Saliba,Saek,Surigaonon,"Bontok, Guina-ang",Kapampangan,Kavalan F69,Tagalog,Gumawana,Kilivila,Molima,Babuza Ts82,Wedau,Sowa,Pazih F69,Maisin,Mota,Bwaidoga,Motu,Yami,Rapanui (Easter Island),Neve'ei,Itawis,Tomoip,Sudest,Papora Ts82,Novol (Bangir),Mwotlap,Kusaie,Lenakel,Suau,Shan,Itbayaten,Tawala,Wogeo,Neve'ei (Vinmavis),Itbayat,Siraya F69,Gapapaiwa,Tolaki (Konawe),To'ambaita,Pukapuka,Hiw,Takia,Aneityumese,Lao,Marquesan,Lala,Favorlang OL03,Lelepa,Mapun,Nahavaq (Benour),Sahu,Kuanua (Makada),Palawan Batak,Kalaw Kawaw Ya,Enga,Merei,Malagasy (Tandroy),Kerinci,Lote,Misima,Tolo,Kiribati,Tugun,Rarotongan,Dixon Reef,Nalik,S.W. Palawano,Amis (Central),Puluwatese,Proto-Lampungic,Asilulu,Proto-Chuukic,Imorod,Iraralay,"Futuna, East",Malagasy (Tanala),Äiwoo,Roro,Mangareva,Shark Bay,Malay (1600),Woleaian,'Auhelawa,Kavalan LTs,Ulithian,Puyuma (Chihpen F69),Malagasy (Sakalava),Babuyan,Saipan Carolinian,Ura
Raga,0.0,0.021462680433052758,0.013263066441265407,0.009790477984548893,0.013309697328222719,0.013184276728358656,0.01608925100042998,0.03080873573488571,0.019015647348906633,0.02044228074189914,0.01022186489897819,0.018033088241084155,0.014478584993083009,0.019346668538356062,0.014553593439109625,0.016416055255454736,0.020672809322981642,0.018712719309933575,0.019785990352205123,0.022005968425788208,0.016264525150782923,0.02194515934906791,0.01373072467033446,0.016000133347087303,0.02638554047281261,0.021743494186717605,0.024060970283901365,0.016416237167623172,0.021492421360789556,0.01533306629835204,0.016287445511789452,0.014098642089212016,0.01613265582963376,0.028183710054474388,0.018180187604715164,0.014386538300973403,0.01516616524851075,0.013647229765753133,0.02118140676494441,0.010362827109692947,0.01616662928080873,0.019230699100878747,0.021264697517900756,0.014835167411407894,0.01833698930789741,0.016527347514263067,0.01579140194964647,0.03737120457649946,0.021318556551217633,0.02549972106874065,0.0143645087518459,0.017415898102219586,0.013821756235562583,0.0093724348418238,0.02243141668623126,0.017405599386841577,0.016819072061337776,0.022873414804493005,0.019005579911928014,0.016310157549212417,0.014187996712206998,0.014039084082686382,0.021971047885456094,0.01247728660863962,0.01059026968092401,0.028988041069555857,0.014781221060684755,0.014674997539882792,0.016709144186549885,0.01923334037582874,0.03164171330478574,0.018959227126667245,0.02163994811535051,0.023672599237737988,0.014580750506865062,0.0201619319144929,0.017907675133823454,0.01654635434229509,0.016244726463736803,0.02217608612137558,0.024112416174175828,0.026631506123932395,0.019136791434734467,0.019992199741072192,0.02588104718522213,0.012676658265907026,0.015130577891553478,0.02474347413731806,0.02476985058176894,0.01920789282464585,0.016811901650319955,0.02208558725726144,0.020052722770238847,0.018772269764972545,0.021340196288546137,0.014038821224319832,0.016281215600592563,0.016722120805376096,0.018072129083899623,0.013588301925175749
Taokas Ts82,0.021462680433052758,0.0,0.01448007788065994,0.015138936396647828,0.014555841118049282,0.014832442664462365,0.01722149268576507,0.0291371312515674,0.019659870317648754,0.01674124085799288,0.012689357162426067,0.0199355713217451,0.01666707490342632,0.017398379307558425,0.018108397747678716,0.019653239474795015,0.01918730260318416,0.014980874229474769,0.018605386065723723,0.028022397126567403,0.018593297035365552,0.016358590796808962,0.019371988112667635,0.01627791059154333,0.01871860744864863,0.021262051970424627,0.020514255745999393,0.019774364441308298,0.0221601883875725,0.014279857021460477,0.020358874830064197,0.011964088346131064,0.01668956015917948,0.03153631626800767,0.014345898243002031,0.014582871899197915,0.01697569292344546,0.01427266152149531,0.016834019831301457,0.013906971319818598,0.020214374319883825,0.019069817612804855,0.020371580386201467,0.014089270418451002,0.02078318408385352,0.0233708976444381,0.01598695211616709,0.02395566110840101,0.01674660748366835,0.0195726376723436,0.01291209712644338,0.01730257933976719,0.014577423472172665,0.011918468064898264,0.01612647961704239,0.01830253683136364,0.024989756520104153,0.019062948300736564,0.023237996853805655,0.015432187449948188,0.014919969872615615,0.0184290123207263,0.02230173655895606,0.0164886355769091,0.012266554568189716,0.018429875648566248,0.012984940105902218,0.018410995218758334,0.017328062523267882,0.013544823885146511,0.018899043991917212,0.01591646622199633,0.01718808937124335,0.019870537240104676,0.015409268100906568,0.021440272450334644,0.01971998249325033,0.020165545063310763,0.01496532091223792,0.02254621261225348,0.02096823435072214,0.019677650410097,0.02105897023673936,0.021494898093594707,0.022338904441668243,0.013899136658692088,0.013380629210223273,0.01682413695259631,0.021215577801270993,0.018887968775412746,0.019316065223303022,0.016507149200804566,0.017729479634861687,0.022096038728030596,0.019630159257084005,0.02164825075331512,0.0142980044646533,0.018358160288261687,0.017021132644207636,0.014210107284941622
Chuukese,0.013263066441265407,0.01448007788065994,0.0,0.012093588309607838,0.014282506582407652,0.010968881880749933,0.014546073335060986,0.019239670767010213,0.011771638279670437,0.011726568482587045,0.008637487897678322,0.01385745454890846,0.013958883617598871,0.013987028356498591,0.012270499716791975,0.014475542529617998,0.01243290873149101,0.01103376430596298,0.01368554496317831,0.0157286285640587,0.01252822172414523,0.013253521404437925,0.009431605722804388,0.012940637135103418,0.013296872874107893,0.01209734767903344,0.013231211578103008,0.011993186023178363,0.017174783961074233,0.012868107687662273,0.015992064341068573,0.011731082278991728,0.012191923160301323,0.01633739509193066,0.011488456061196445,0.011912144811043178,0.015194302337748216,0.011885543559214196,0.01271842631328667,0.009468544251564015,0.011548189687500555,0.013683828140991939,0.015398918701122795,0.013335951126240829,0.013079486631432798,0.012686734546715218,0.01293354472472042,0.01882789313361074,0.015598323473445417,0.014551777407670998,0.011941036066358842,0.013575997172990935,0.010373323018559975,0.010138423401598994,0.016347076815188967,0.010735352091057039,0.011468197699391142,0.014266082712332095,0.01583759337659121,0.012844172508689841,0.011381140546270561,0.011164169335612859,0.013196999872862748,0.011700286516632245,0.01014431589355556,0.014031142550263795,0.010528616615750955,0.010568552731810026,0.014155338830565117,0.014049316314034343,0.01541008847519254,0.015557382295823867,0.013313883764087934,0.01517412572094156,0.012150929346613042,0.01274353624913433,0.014440523318303845,0.013524805842399533,0.04804898031419851,0.014068814390941582,0.013744638564343482,0.031992014268943325,0.014992931129418276,0.01374870507439226,0.016859688150074565,0.011291495003558036,0.012634740644380832,0.01633789905741968,0.015922214591112153,0.01553559007660565,0.01325459191828127,0.03088166975963554,0.012791530993419875,0.014616551122568025,0.030046175416602823,0.012688370387378991,0.012199755398686639,0.012659015614067896,0.05219143497763036,0.012018858690540887
Proto-Mon-Khmer,0.009790477984548893,0.015138936396647828,0.012093588309607838,0.0,0.011988174475123967,0.011000238158237276,0.011676785225347038,0.016864301056874864,0.011470267767969541,0.0123237358566505,0.011586510229064014,0.012848072053787463,0.014375066390235934,0.014125531929014048,0.014403059751734872,0.01275724377070094,0.010890993390013122,0.010142961537784087,0.010220467405440808,0.013818823859713055,0.009529145707187417,0.011583106444493839,0.01367695677842364,0.010701468984393076,0.012497169070688867,0.01027937988570912,0.011783790204731212,0.013349227506704793,0.0126176573628599,0.010104608203983527,0.01357891649771347,0.010760219801059234,0.010921137024604913,0.016981414218733306,0.010168491382399905,0.009793905347817577,0.011356833649789505,0.010453224957930305,0.012126519890292856,0.011715371437187993,0.012740158881211692,0.01197979845121292,0.011663165254107632,0.009897423161547682,0.012218990484674602,0.011565656031435164,0.010784906715354517,0.011637192409082857,0.01092019589843703,0.012474034547396283,0.010138482871299018,0.011982583701891826,0.009971993612058342,0.013607639186310421,0.010859696672438045,0.008547960865009944,0.009908561628490594,0.010778895246155358,0.011360265640704087,0.010330646408054306,0.010672462671414681,0.012610263599044812,0.012413489467598597,0.012051114919826654,0.01080447189063374,0.011559840315800353,0.00939590498087423,0.013370754315082032,0.0135778715575959,0.010657651394204116,0.010470865180647673,0.013214387455999142,0.011416067697420177,0.011806938206664163,0.009900829670962404,0.013356745101411082,0.012224601557785403,0.01317892579500849,0.01408274762172361,0.013550684751377131,0.010640775501148734,0.013511762876187572,0.012725523208405072,0.012572795609689904,0.011950179391796061,0.010443578561369828,0.008984834200685514,0.01172952346992536,0.013120925937793964,0.011746037242876815,0.013142369522435507,0.01414338904024528,0.009107533659416656,0.01326213944872688,0.015175987377701637,0.013672796061894124,0.009109160308273762,0.013558018875644453,0.012413591986034042,0.010209559794523437
Jawe,0.013309697328222719,0.014555841118049282,0.014282506582407652,0.011988174475123967,0.0,0.012775501956169912,0.012620887011903267,0.01494676642441877,0.012717637875645258,0.013071153095300936,0.009576315975534289,0.01260857663518678,0.012344363109720754,0.012336978650627677,0.010453928597523324,0.011105610349569701,0.011945181739120191,0.012566888591686967,0.010741941770773424,0.013339261989500587,0.011765748999200269,0.013441863561257587,0.013123293718735506,0.011021331309192002,0.012269810260248116,0.01421319857886178,0.013158367535746625,0.012079287341353375,0.014956950069223256,0.013663670357143097,0.015127394544873912,0.014164383894801293,0.014459513798314363,0.013227971540202993,0.012205805215130476,0.012314225273814433,0.013629931729189356,0.012417979168167587,0.0109385308901055,0.010537463743492237,0.011683835544498205,0.011459093202769954,0.011639404035594145,0.013328600253217887,0.013741300403857327,0.011436031430120275,0.013754415393036084,0.013477105350920903,0.012222335392253246,0.014828401693416138,0.012674468275568201,0.013996046827979235,0.012775792655724897,0.009371614926257626,0.014515722072193616,0.014987753140618048,0.011736538586585915,0.014937898604082987,0.011920469194701045,0.011440386509662165,0.011034836450137545,0.01273592581629909,0.013674233297658694,0.012186449645225557,0.010654615736951235,0.013780300985581658,0.01056105313676026,0.010807006721879031,0.012834741273667688,0.014754250178173776,0.013273620915533408,0.015028908431086516,0.014748605808906528,0.015130329621546196,0.012728789684367954,0.015294606626856623,0.01104581568486536,0.010725402558781032,0.017161266928531087,0.013064929240880237,0.01586110572545802,0.015018373362268057,0.013328765523686427,0.012827510860586682,0.01362833481893454,0.01094175451064613,0.0103195812022768,0.014406451765540977,0.013482701228761291,0.014468063055366336,0.012038477201609577,0.01490997955843666,0.013587174082894674,0.012656347646482066,0.015265066729081152,0.011874590746059283,0.009940122868784297,0.012085385432326332,0.016973152370085436,0.014502196020371986
Muyuw,0.013184276728358656,0.014832442664462365,0.010968881880749933,0.011000238158237276,0.012775501956169912,0.0,0.013864360399949077,0.018282438715276995,0.011714065663251014,0.015739671230118706,0.00846299284898034,0.012284117121727622,0.011842111201441316,0.014312426541565988,0.013290084239868716,0.012846469313299113,0.01735062429619375,0.02706826614700771,0.017669329590797773,0.015463559496541547,0.012064649192899414,0.010767903232822,0.011027017316238109,0.012220535715291414,0.013174847937627044,0.016960780783669242,0.012349243382794035,0.012004860422031085,0.015008492336547233,0.011351481048092787,0.013066133547023974,0.010084259036748117,0.014269234555883376,0.015442580968423979,0.013289954523832406,0.011473112261643588,0.009299386926195408,0.012256191511688518,0.014752441979967315,0.01066313762050232,0.01182076362388478,0.01229630772460392,0.015010706212599877,0.011799799288681493,0.014837639246616185,0.012735684308543242,0.013584253615446412,0.014138128587546244,0.012104904652759539,0.01251590967257108,0.012519580171330418,0.013231639714862532,0.012055699102555918,0.010575474943021653,0.012309215749130907,0.011306294740404649,0.011841027083659613,0.011412485058139184,0.011958766857993238,0.012039354524496657,0.011013789894184499,0.01368149007451612,0.01232070450552352,0.011318843038612846,0.011718145175091402,0.0154016018650205,0.010224618041086266,0.011847809192227545,0.01188908249733338,0.018698998818297816,0.01315090248024819,0.012435578781820196,0.01385965132686453,0.012027429164164853,0.012790045889971137,0.014033118614729913,0.013854178446353399,0.01149961308567612,0.012218940508977795,0.012309586713726294,0.012795761857685696,0.014960667172575532,0.014325571844450791,0.014044917734822464,0.014300800614206214,0.010534027864739766,0.01301740639702412,0.016821151378641677,0.013438206962032195,0.013361545599243092,0.011789031463619051,0.012077901376266246,0.016696207517670807,0.014465570073687328,0.014463634563809972,0.012000888332264703,0.010013302074050014,0.014283896231733779,0.012474571295480866,0.010511121944800144
Novol (Usus - Dixon Reef),0.01608925100042998,0.01722149268576507,0.014546073335060986,0.011676785225347038,0.012620887011903267,0.013864360399949077,0.0,0.018115336793219274,0.013853512650911193,0.014210940593836787,0.010487604115884898,0.014554686767187273,0.013024295629129205,0.014963469182430847,0.014372820095052703,0.014097488030087778,0.013749876576538471,0.01475075478982062,0.015269320810928832,0.015336412634582677,0.012179317572533887,0.019915433725132502,0.011416701036855631,0.013919410745390829,0.016938599940688817,0.01600831277165268,0.014878727491362164,0.011607171362831526,0.014582422894629653,0.02166437602292777,0.013376420101800898,0.012951486132336917,0.016287871413567127,0.017497850906466553,0.052870096605595954,0.01574780316697787,0.012658431024277725,0.013653526673330382,0.014779133155575485,0.009804816586295735,0.010759079463381296,0.011479217727783068,0.016885713475842827,0.02146517284753555,0.015026234559703049,0.012873843078630941,0.01441897074175737,0.018016341265589812,0.013843554388617,0.016301149505437686,0.014500639111625586,0.016289378389050275,0.01285378502287847,0.010033411658725956,0.016811710700422526,0.013803513272279194,0.013485798272365505,0.016220504364434445,0.014348154167304525,0.021916006895514664,0.013807593872353375,0.0164501662482479,0.014718307264979089,0.011574536647612647,0.011011052364110747,0.022852598022700482,0.011662743049918807,0.014430109549379353,0.014579879277772,0.01322876085513954,0.017623528065545575,0.013035088195634864,0.015319704892356666,0.015565424539128106,0.029604597965437424,0.01600718796188056,0.015501549483606894,0.012217604720725953,0.01790489763723917,0.014831005629720968,0.014982227800864471,0.021080663870850887,0.014978878998577838,0.015483008668831535,0.015522253337551226,0.01223722582568361,0.010967429862503935,0.018881671915594027,0.01581908028361221,0.016295066322147698,0.017321360426948443,0.018490487580363694,0.01407818788695073,0.014444156228282483,0.017582710510375514,0.01297539048313765,0.012346875295629655,0.014406254029107064,0.016548885083034894,0.013898923045955856
Hoanya Ts82,0.03080873573488571,0.0291371312515674,0.019239670767010213,0.016864301056874864,0.01494676642441877,0.018282438715276995,0.018115336793219274,0.0,0.02638840216595945,0.02038739458292737,0.013318628114414989,0.032378476661985046,0.025581393290510856,0.03116896690101166,0.020174375511758182,0.029317467473449755,0.023165166253808506,0.02166737634551826,0.019154888532370823,0.02788701856263914,0.020903184444862635,0.02160803699786137,0.020583977116637255,0.022119795138104217,0.027180646093415674,0.020560249181124785,0.027946242599725318,0.025439953395336553,0.024554900263690973,0.017026917275660497,0.026685036577360426,0.016332624961672513,0.01945603526928284,0.036380032797947846,0.01934304982162151,0.014313798351229595,0.018664150289495418,0.014996697133031067,0.020560203337284474,0.01324135156788497,0.024359056739279357,0.023876020432412947,0.020146732231215624,0.01757418366906836,0.029443318306080216,0.026978782950081718,0.017047620733051348,0.03274668843909302,0.023055364074076375,0.02674386496458631,0.01578013973266791,0.017242506157141582,0.017503494622237235,0.012951482269390576,0.02121308140075686,0.020756677239464137,0.02728167872454046,0.023218534249761866,0.02888589723356619,0.016722174190041295,0.01795905980254488,0.01980731109957987,0.031576530031156916,0.014577254035198358,0.018262946107518992,0.025121744328323894,0.017250921466527083,0.019526092339393234,0.01988939916608611,0.0219328857196711,0.02698571783915283,0.023072092806619163,0.026421732476219355,0.022139488323584127,0.014619222056040123,0.02443735361200701,0.030370154311494965,0.026233893496764825,0.01938414218671073,0.03151039756843611,0.03265420751719086,0.02403375405687828,0.030784192497219948,0.0300743499228256,0.02561991128981922,0.020921354584109726,0.012189155177701189,0.017933331791927423,0.023392422175407178,0.018407764440001702,0.025638418317754604,0.022490367868240754,0.02146697988735123,0.026252753158907783,0.02192423468928748,0.020942993277039752,0.020121866986318234,0.02333408059643373,0.0190794682835621,0.020229521311886545
Dayak Ngaju,0.019015647348906633,0.019659870317648754,0.011771638279670437,0.011470267767969541,0.012717637875645258,0.011714065663251014,0.013853512650911193,0.02638840216595945,0.0,0.01624314095798434,0.00996166901215052,0.021691758497837034,0.017412217580636817,0.020604048350255453,0.01710374721271956,0.01928959707022433,0.013561347226778292,0.013815962569237075,0.014241370507318723,0.017840017625402767,0.01146206400306903,0.014102980795098783,0.01592919209166431,0.015254147798662042,0.018764237124570836,0.014923986608664756,0.01599631300550156,0.01627024372205484,0.016151824886852694,0.01213625390400517,0.022549147999855,0.010917680954187615,0.012797082296665699,0.0247140081751198,0.013213827165198196,0.01122285384752703,0.011626807227612935,0.012006374539661531,0.016687619347852466,0.00899507617558146,0.021166267250122432,0.015218156839112148,0.015920364126872835,0.013370397290774601,0.018562302544735197,0.018492308997229683,0.01559387148241033,0.030782298260986565,0.013986030337183245,0.018458645379862818,0.010843125895310545,0.01397442793718446,0.011255006198077845,0.009895274213075306,0.01593713711233773,0.013595805645253914,0.01389607360356195,0.01613658159448813,0.024555263544994623,0.01249505101766549,0.013161906069286603,0.013310751101782642,0.02371482899169661,0.012228986971888045,0.011820812833741952,0.020107785857794623,0.016608186246442013,0.02275784531721815,0.012970951860410801,0.015761382519614654,0.01773590842583213,0.015231554831809394,0.021228050758840326,0.015139913978340988,0.012745377960944996,0.014583101948603275,0.026047820523829115,0.018860596558741914,0.014096021485953274,0.02778912155982782,0.022111660918379655,0.020040309349042593,0.021174580815091104,0.02031859667079243,0.018453376400368246,0.016501798597100496,0.011917897170894518,0.017159814702560224,0.01681491623609057,0.016909030412960435,0.026167042085212665,0.018247610759187523,0.014468654230209104,0.019685517689357078,0.013237672940137977,0.01555571553399547,0.01614448824666896,0.018163276094463728,0.013969533017440977,0.011253477882447538
Saliba,0.02044228074189914,0.01674124085799288,0.011726568482587045,0.0123237358566505,0.013071153095300936,0.015739671230118706,0.014210940593836787,0.02038739458292737,0.01624314095798434,0.0,0.007922594615113167,0.017824219853371202,0.011801584727279714,0.015468220333040393,0.012565924625388303,0.013144648445874032,0.021798715732168673,0.0208644729817138,0.02755307563178524,0.018974325072180446,0.015744076827690426,0.014476423986123362,0.011835713255833638,0.019631043158107066,0.01855933404957163,0.025359326104905273,0.021544005660214076,0.012835189432043679,0.019739217707648676,0.013713337576596134,0.013325222272230217,0.01117341798765622,0.01865774517659084,0.017949265906753026,0.01349912973822006,0.0116547289271143,0.014474268069892347,0.013363299938800777,0.0537446087344739,0.009928099838824532,0.01272774499356735,0.02607271661341489,0.016703137361894212,0.013847021780499888,0.01700135076864558,0.01682928023992124,0.01986897651725617,0.021270682091631125,0.017602399333121167,0.01924394355398424,0.011729941352044469,0.015338357034021463,0.014380801144926065,0.009817005492787115,0.017007858332111908,0.016843862735689167,0.014774393124967509,0.01659066812400727,0.015432839288198727,0.012448735716002616,0.01424608805243236,0.014166218741909467,0.016113021769372127,0.01346160183772994,0.010593783867556878,0.020402174324047225,0.011924992398308082,0.015758045720699783,0.014831504080313324,0.025380644137563656,0.022689512712250354,0.018139606818846767,0.018173147752552007,0.017355013442667863,0.013185855927952676,0.01658180049303424,0.013306649086390935,0.01574755320330561,0.014544828203881107,0.01768541466411846,0.01968263765789129,0.022265928866463176,0.017797753827817814,0.0161922456867814,0.023117178478188682,0.012994557940661136,0.013513807729273313,0.021321969498293673,0.016620423420439002,0.01448918411844623,0.01450946888405757,0.01875537021094915,0.04266033310037588,0.015608907754767913,0.017300432068944056,0.01277331843890527,0.012824245296476897,0.013071988065723062,0.015581767060360845,0.011429812552913384
