,Raga,Taokas Ts82,Chuukese,Proto-Mon-Khmer,Jawe,Muyuw,Novol (Usus - Dixon Reef),Hoanya Ts82,Dayak Ngaju,Saliba,Saek,Surigaonon,"Bontok, Guina-ang",Kapampangan,Kavalan F69,Tagalog,Gumawana,Kilivila,Molima,Babuza Ts82,Wedau,Sowa,Pazih F69,Maisin,Mota,Bwaidoga,Motu,Yami,Rapanui (Easter Island),Neve'ei,Itawis,Tomoip,Sudest,Papora Ts82,Novol (Bangir),Mwotlap,Kusaie,Lenakel,Suau,Shan,Itbayaten,Tawala,Wogeo,Neve'ei (Vinmavis),Itbayat,Siraya F69,Gapapaiwa,Tolaki (Konawe),To'ambaita,Pukapuka,Hiw,Takia,Aneityumese,Lao,Marquesan,Lala,Favorlang OL03,Lelepa,Mapun,Nahavaq (Benour),Sahu,Kuanua (Makada),Palawan Batak,Kalaw Kawaw Ya,Enga,Merei,Malagasy (Tandroy),Kerinci,Lote,Misima,Tolo,Kiribati,Tugun,Rarotongan,Dixon Reef,Nalik,S.W. Palawano,Amis (Central),Puluwatese,Proto-Lampungic,Asilulu,Proto-Chuukic,Imorod,Iraralay,"Futuna, East",Malagasy (Tanala),Äiwoo,Roro,Mangareva,Shark Bay,Malay (1600),Woleaian,'Auhelawa,Kavalan LTs,Ulithian,Puyuma (Chihpen F69),Malagasy (Sakalava),Babuyan,Saipan Carolinian,Ura
Raga,0.0,0.7970701494631899,0.8420603179931646,0.9069660723219454,0.8252853132632504,0.824112012426511,0.7562895546454057,0.7654105606415726,0.7716611506144204,0.7549942592740044,0.8846277033561479,0.7494739998595442,0.8298854024675102,0.7879001704624718,0.8394911775169467,0.8083913635980512,0.7600025910551024,0.7593999471823486,0.7685012436245586,0.8075482347629287,0.794924551471594,0.7507474158782219,0.8227380682314797,0.7904419818459211,0.6730479513804956,0.7419654365144368,0.712844292153945,0.8033813944792705,0.7310074399205466,0.7709450077918057,0.7943682909177471,0.838534463065011,0.8180183761761255,0.7856388370048222,0.7604571916913467,0.8245184781255669,0.8384796718030142,0.8512468790523251,0.7534101928891106,0.895993725731259,0.7863260533320044,0.7765168175244688,0.7564723062370452,0.8140303778511364,0.7865477013844699,0.7791702430431442,0.7897241808734637,0.6965172894712083,0.73241977889317,0.7227309357639894,0.8422657434514587,0.7781405715092466,0.8299825687575378,0.9074191234117387,0.7453578116978062,0.7633500298972266,0.7947541472879734,0.7396179404864727,0.7780265274691288,0.7695603684000849,0.8212278648083939,0.8494616176060265,0.7654222893502488,0.8463619708942082,0.8726869686928492,0.6825534485091406,0.8283244634979732,0.820235637960947,0.823479168119885,0.7701698271142261,0.6748564598608975,0.7732639375098787,0.7537840366826889,0.724824310206308,0.7886484807419769,0.7797334519781471,0.7694768271770465,0.7863725723524125,0.8431101318618418,0.7755362961596908,0.7451548965278717,0.7264558310845682,0.7879717242681308,0.7806354674464253,0.7150136282788188,0.813122423799006,0.8278177803755168,0.747306706467548,0.7087052821307057,0.7797418989746937,0.8041179891253825,0.7621027254552649,0.7736151708165713,0.7948414795842634,0.7929510921087872,0.8472365146791689,0.8048219223648083,0.7901412808603208,0.8348146351707801,0.8187111301474985
Taokas Ts82,0.7970701494631899,0.0,0.8772190480966546,0.8724072026063351,0.8507030713301961,0.8262507088340595,0.821271566664321,0.7328802452725445,0.78318522445664,0.8092712958086409,0.8934808480779307,0.7976478509369171,0.8231115601246458,0.804567274178299,0.82738678866753,0.7932025533638614,0.7945648173145403,0.804732911476787,0.7936975676886253,0.7172549239802845,0.7937954612147656,0.8321438002091823,0.7888804140564474,0.8143087654733534,0.7991500870376724,0.7908772050137243,0.777094192396748,0.7729246933539135,0.7980601606545273,0.8441253205258572,0.7803386843256663,0.8818502489972572,0.8566339081757532,0.7083317688234148,0.8579421048908692,0.8595766358826928,0.8332794316014521,0.8535093773349047,0.8137217547836154,0.8883322064561139,0.7686367107983572,0.8060684798871474,0.7941525714261669,0.8498144738724774,0.7853541278121806,0.7550127364609667,0.8102808108786509,0.7957271974665229,0.8226519762894139,0.8090758202256345,0.889521497949034,0.8086414147160671,0.8098579303478424,0.903280760915698,0.8137889878402135,0.8119706462204092,0.719111179639813,0.7975131793110267,0.7968474184022375,0.8468631521174416,0.8650710357281435,0.8470014734610319,0.7877836133532752,0.8144216709339746,0.868911394966184,0.791883983764276,0.8555172856686,0.8119989697043208,0.8559496721323968,0.8147352595408506,0.8105559794948957,0.8229937606482952,0.8100768963848409,0.8062277983244076,0.8050597762989953,0.7980256952107276,0.8131140837533453,0.7895061033526671,0.8789816843525419,0.7816298068831457,0.7938357370855159,0.818622032775463,0.7824569211616749,0.789869834291323,0.7928413196548602,0.8311455477120506,0.8895613244706353,0.8220635020455339,0.7855994276445541,0.836103553783964,0.793461225225239,0.8516769079103288,0.7919577368148757,0.7744955164454767,0.8185773445690269,0.7933953608023464,0.8299790847253745,0.7806134119026862,0.8908849803422573,0.8608765258778882
Chuukese,0.8420603179931646,0.8772190480966546,0.0,0.8960071747507066,0.8536461002688841,0.8596058446053189,0.8608745470016863,0.8577155554112302,0.8509532056535987,0.8586267535505462,0.9074494320112072,0.8521036459544951,0.8599784567092047,0.8540074808029894,0.8742567897267763,0.8491916787283762,0.8528867364622107,0.870902973708834,0.8731128983056818,0.8622205346119128,0.8694734058922066,0.8664180730022426,0.8820957125904159,0.8541155870130045,0.8565031532274666,0.8595655615288464,0.8492720030551213,0.8787301867399258,0.828457564111149,0.8558952288714888,0.8165640970142648,0.889933852422805,0.8758913079640028,0.8875974639068971,0.8667444438072975,0.8569955535333297,0.8408809012588193,0.8666741716581421,0.8627204521541668,0.9096840108235681,0.8576798556510596,0.8675024118344606,0.8506611150012009,0.8664005425847427,0.8520979046760773,0.8530244763330035,0.8660838543891843,0.8611097976998611,0.839339461253235,0.8452448181838456,0.8897983945235923,0.8352655441438158,0.8709415754525438,0.8958763249115463,0.8324390124180476,0.8703691993154128,0.8705105828775591,0.8354510820802069,0.842617709913371,0.8660249482481267,0.8930684450777684,0.8691403877621602,0.8691067026343012,0.8936323748951746,0.885868325678979,0.8538494666182775,0.8893707904042663,0.8897162649432993,0.8655861311412996,0.8518980017571011,0.8403964894794492,0.8358365230731729,0.8304210217896906,0.8324867178028786,0.8579781369657771,0.8472212885381808,0.8569471145090222,0.8403582294683603,0.5227358619557958,0.8425042405489122,0.8451590307588543,0.669995105074732,0.8540784807095081,0.8660621017263823,0.8343090895582956,0.8782612530335292,0.8867049252412441,0.8644112143065041,0.8333205666744665,0.8487006724477496,0.8580625351944505,0.6566134301700839,0.8749131508507381,0.8522812826324523,0.7152932052629764,0.8656982785316969,0.8732848564372443,0.8665722489680434,0.5572249429423024,0.8755135251995217
Proto-Mon-Khmer,0.9069660723219454,0.8724072026063351,0.8960071747507066,0.0,0.9035814284200328,0.8722868111036338,0.9028545188987167,0.852240485838626,0.860794076807453,0.8749243061523786,0.8752391599468534,0.8708803227309017,0.8611912759262238,0.8717853379123861,0.8364621094389763,0.865369555518714,0.8806916413280276,0.8923836814254219,0.8937941468894407,0.8685054937625186,0.8978188245488958,0.8885189420792637,0.83590108039737,0.8725420492017879,0.8816922652484999,0.8775616315797149,0.8758266513345463,0.840748799623788,0.8799840339970011,0.9100728427432055,0.8653938460869468,0.8919768349455803,0.905850584839657,0.8745968302391088,0.9092136572180213,0.8973151028990038,0.8978042454653559,0.8887598535853201,0.8960818123586907,0.8887899441628501,0.850001749420176,0.8899052440896981,0.8739902645204275,0.9033052170725516,0.8721446844461538,0.8748454176742569,0.8861520846515648,0.8985869119465006,0.883837940916231,0.8871149675890356,0.9081368392505584,0.8809996284639738,0.8929161359823035,0.8766579138085396,0.898961757300271,0.9006667889902837,0.8829343294668525,0.8912245544724888,0.8707522593298562,0.9054830472020459,0.8878222180541872,0.8795488695725472,0.8723730556745418,0.8764826231008217,0.9013979795489646,0.8861401992083114,0.9102184282205963,0.8409631490679693,0.8843344555814134,0.897675126809843,0.895538699174419,0.8769943770149934,0.8912820944405345,0.8876476648604905,0.8912716981762222,0.8605667697837782,0.8760183423689657,0.8302003025157095,0.9067992294844524,0.8290249912482968,0.8810746791178812,0.8852769918866906,0.8725150710682392,0.8704421726408594,0.8815050149905975,0.9055801520184543,0.9255109384821684,0.8963192253761185,0.883184453600313,0.8971078423126828,0.8494481457666452,0.8983913270376074,0.9176722531902801,0.8387112849027117,0.8878050921035983,0.8384487479627153,0.9100313470437856,0.873762434455856,0.9143777167989486,0.9112099297491681
Jawe,0.8252853132632504,0.8507030713301961,0.8536461002688841,0.9035814284200328,0.0,0.8314103404578304,0.846974867844896,0.8593253251597792,0.8366807302053226,0.8432940479321828,0.9130154281630419,0.8488181325192045,0.869667119669753,0.8614592536073681,0.8812945627046015,0.845634199622252,0.8521887703085588,0.8441089180529139,0.8582135092722568,0.8549789562514531,0.8451204130050118,0.8514967299305326,0.8583957171290151,0.8474155579067941,0.8457026481635207,0.8524353939409899,0.826959587988436,0.8715945027660696,0.829093637302168,0.8500911204497538,0.8498342250788709,0.8573453209607316,0.8469811555039627,0.8656744674755038,0.8598155075168887,0.85582225002539,0.8578792989934197,0.8587742760661763,0.8700378351580912,0.8961204463344324,0.8406631516132488,0.8720123595819912,0.8433476257509415,0.8608948798393609,0.8392421531907486,0.8582083426024747,0.8515549577104276,0.8701370582711698,0.8454579728528945,0.8332067617901447,0.8805883239096413,0.8456259021807015,0.8272547394375542,0.8958928316417808,0.830300850308561,0.8434097601630589,0.8641510093991543,0.8247422378470267,0.8525507694940991,0.8540332112217515,0.8712185146095731,0.872798324088577,0.8475941808859117,0.8746824395950681,0.8666146260643767,0.849317511777716,0.8778113356655196,0.8735268383661662,0.8478335584516491,0.8337729605330977,0.8525584076850096,0.8303055898569592,0.8341339964841132,0.8344485868269842,0.8303638819203947,0.8232263063240751,0.8559483577823057,0.85092258147413,0.8432047809016345,0.8565841612765688,0.8241346040643737,0.828780023002424,0.8467161534320675,0.8404115271178604,0.825133876723572,0.8672371891664318,0.874279970403382,0.8526874942042852,0.8294056313832634,0.8385836513390431,0.8543063792267476,0.833532330626206,0.8489570710437466,0.8577587297756838,0.8476473306243189,0.8733168491757071,0.8808386386404347,0.8395182875028853,0.8523985696106238,0.8419977783490197
Muyuw,0.824112012426511,0.8262507088340595,0.8596058446053189,0.8722868111036338,0.8314103404578304,0.0,0.8210522023333643,0.8099675462141778,0.8110404605537918,0.7660964917568965,0.8998979188750899,0.8039539047952637,0.8445409521961461,0.8156766463553363,0.8343909209096334,0.8261596416538599,0.739912378722205,0.6612397072273499,0.761743513271307,0.8253035950916738,0.8226140417559286,0.8541454601079593,0.8517455069587285,0.8353949772960334,0.8241978977121637,0.7861886924257706,0.8307095464385996,0.8331694424587706,0.8405512325472217,0.8423719121874155,0.8160349797923644,0.8673185367509862,0.8446143169217709,0.81794681840379,0.8304694237218585,0.8416480089905253,0.8857397744541369,0.8406744441120785,0.7880519117524212,0.8805450675205742,0.8150763265492913,0.8225247806595736,0.8179721451760937,0.8447279796694105,0.806536313631078,0.8241548337298602,0.8159481957981288,0.8529781850001167,0.8307233480507645,0.836166337184816,0.8695805294361185,0.8166812490002432,0.8265246390115948,0.8978631501352828,0.8491838068261305,0.8202719601741619,0.8340112343711911,0.8368524917918769,0.816024442528202,0.8312391552209507,0.8515782383625577,0.8352612572370351,0.8245472928869857,0.8632467871589897,0.8536577554441765,0.8290896417723905,0.8818416090728364,0.8448689501019949,0.8572168550505518,0.764892453053172,0.8331992995062716,0.8388422415636098,0.8245576830837814,0.848589759370239,0.815220940167727,0.8202696755808851,0.8130863339174809,0.8139840065356099,0.867720838541956,0.8342700379788647,0.8312162730715892,0.8385636864554519,0.8015071792033883,0.8042542071830789,0.8296080664689905,0.8600185784242406,0.8607388269950552,0.825646896114096,0.8418677452662524,0.8397493119556184,0.8311788604600268,0.8555508685169161,0.8080882028734215,0.8157999336771522,0.856300536717158,0.8478755661614221,0.8731037483496646,0.8087868560704036,0.8831196363006305,0.8612369938730348
Novol (Usus - Dixon Reef),0.7562895546454057,0.821271566664321,0.8608745470016863,0.9028545188987167,0.846974867844896,0.8210522023333643,0.0,0.8028222208828926,0.8175760052004009,0.822983571054044,0.900614304721858,0.8089933944401559,0.8500188462418256,0.8252876854644995,0.8487632540269681,0.8195656534824765,0.8329073881587138,0.8045496460890247,0.8152729067706342,0.8378167513652053,0.8314862908011521,0.7936037087260811,0.8381601105117208,0.8334388070987306,0.7407575665492908,0.8019171187234516,0.8100640609961768,0.8301877417764513,0.8231098669864724,0.7282599131037777,0.8365165090606875,0.8458774564184854,0.8383487794568296,0.8213786836208216,0.4208646269783495,0.8203810438620404,0.8640634018544282,0.8412138194341839,0.8150139581383918,0.9074296209449437,0.8323203180592731,0.8389599517156293,0.8059384240353467,0.728209304315087,0.8201961051339829,0.8126004657005069,0.8276394608239491,0.7974224260344731,0.816680689967503,0.8107507097520399,0.8455777061023936,0.8109733399525729,0.8420150688675164,0.9057246914523565,0.8148505170666318,0.8078543667050883,0.83563084417316,0.7853061627785904,0.8109882312356348,0.7149899739232043,0.8467580669109864,0.8316753272971534,0.826168271598223,0.876846521802254,0.8627535786657432,0.7644863062297985,0.833383230742663,0.8468289053034945,0.8328888276561486,0.8269169394862393,0.791470899531314,0.8231216370913882,0.7979128670071237,0.8170946897681359,0.5464054067640546,0.806027836327121,0.7971185234450939,0.8146997611537831,0.8268046384441716,0.8135387172331693,0.8207236683301423,0.7907397144140477,0.7976085426382212,0.7984238587689432,0.8057877640540759,0.844377493909058,0.8748471419295045,0.8210429019399719,0.8074779947631033,0.8260734234931383,0.8053826770054192,0.7925350321782731,0.8514079065241189,0.818547825463318,0.8321426702018394,0.8592664171403315,0.8271407139589977,0.8200028328755353,0.8306971395295044,0.8460269962955729
Hoanya Ts82,0.7654105606415726,0.7328802452725445,0.8577155554112302,0.852240485838626,0.8593253251597792,0.8099675462141778,0.8028222208828926,0.0,0.7431506532436338,0.7919920973328574,0.908125823965507,0.7381789982246342,0.7642253485328463,0.7139642829152212,0.7957301254687608,0.7429121080654916,0.799315623385704,0.7754889826487212,0.8291988889939225,0.7355832462635326,0.7908579399517509,0.8201502639848308,0.7989220356540359,0.819888001321967,0.7649973134463873,0.7976828360928788,0.741961990710153,0.7521983824533446,0.8035483734476049,0.8380382647438853,0.7381165877103452,0.8492340266261584,0.8507279613779611,0.6454983156037498,0.8275415525813815,0.868126913827456,0.8518785583814449,0.8611207511465634,0.7932887979211308,0.8914577692198855,0.7178522484294269,0.8005670401002325,0.8101765690244136,0.8330578924266965,0.7625311585404404,0.7196677836165847,0.8148614004074028,0.7468277944967463,0.801894554028316,0.7781900551116797,0.8763081178019426,0.828946626552958,0.8323520808879321,0.9015565894005401,0.8131814305263613,0.7899205315193071,0.7335825165867533,0.7721560558135736,0.7422292279089043,0.8305961579330092,0.8408396957994068,0.826738742685682,0.7212872284037922,0.8357448308411244,0.8725513724640913,0.7853713592683436,0.8474404499152187,0.8221743974640371,0.8415085615369093,0.8056062468034727,0.7742978492509311,0.8164875950570234,0.7611586829783664,0.7930459636274846,0.8067481221643429,0.7596863728839748,0.766612339805848,0.724775212292876,0.8522727291783593,0.7349016615539535,0.732281225830504,0.7913866115543474,0.7446186711505977,0.7527694749919149,0.768035295428133,0.8048060056638302,0.8803781628153038,0.8232069836415923,0.7956366676110346,0.8386396790408928,0.7808152641359548,0.8379861409960722,0.7983691241998351,0.722633833825656,0.8215281697044077,0.7890294910006245,0.8068304032262914,0.7685405406442889,0.8618961534410061,0.8350957530869596
Dayak Ngaju,0.7716611506144204,0.78318522445664,0.8509532056535987,0.860794076807453,0.8366807302053226,0.8110404605537918,0.8175760052004009,0.7431506532436338,0.0,0.7834265185789293,0.8886622255650453,0.7310430899340941,0.7896204396650235,0.7391565366472521,0.8109286623738033,0.725097356523786,0.7937264373186937,0.7877071929473609,0.8058631018190348,0.8079009316119844,0.8127349220198892,0.8374397238164651,0.7915591404148953,0.8146978350109848,0.7626118670215005,0.7908373852941701,0.7693180230380556,0.7728490490774895,0.7880820034084411,0.8357305682825388,0.6864083768790775,0.8615867505754743,0.8518933014661618,0.7725062014786646,0.8325432859606982,0.8356346290709105,0.8473586444449422,0.8381792038488441,0.7993479862555827,0.898969730922153,0.7180341073507323,0.811274502656033,0.78746454223045,0.8381137634687112,0.7406954426582125,0.761892029786023,0.8061342430387448,0.7492964443990868,0.8024461273514649,0.7653009860482394,0.8801793470265368,0.8194509556379909,0.8368391326101268,0.8868757279342909,0.791807445882958,0.8031828013299567,0.8127319807599065,0.7864819718198038,0.7118192408643502,0.8366981575244615,0.8413166414162738,0.8453414510091146,0.7138938924847389,0.8394247175625725,0.8671571674838657,0.7851411273046662,0.7930461918797481,0.7422615389951911,0.8272610866001675,0.8052564722724169,0.7820806777259528,0.7904130020799461,0.7458517730185953,0.7768966417840106,0.8064382378552618,0.7828736798326481,0.7087919397121596,0.7170364341556271,0.8502788841592748,0.6947337300245509,0.7217089469115511,0.7694212564462446,0.7373824930027146,0.744150367450048,0.7621453912628263,0.7800166862469886,0.8716939214845971,0.7959562724249722,0.7845246300577646,0.8398150944441292,0.7052205194511874,0.8094890384140281,0.8236161425035455,0.7574900296153756,0.8589125922347627,0.7959883265383323,0.7838564950569369,0.7526915494268803,0.8525872206851077,0.839443866417621
Saliba,0.7549942592740044,0.8092712958086409,0.8586267535505462,0.8749243061523786,0.8432940479321828,0.7660964917568965,0.822983571054044,0.7919920973328574,0.7834265185789293,0.0,0.9068892707980989,0.7852426681698595,0.8533965277539842,0.809729720421068,0.847072506050488,0.8156151093293232,0.6995083941071606,0.7038664881256989,0.6703783995748929,0.8145146934822496,0.7681094288889864,0.8347173963113302,0.8418191219617603,0.7560171660548984,0.7728600138601556,0.7018927708788464,0.7212042566150585,0.8193036895863967,0.7612034729308312,0.8427075460454374,0.8124967250735873,0.8484917119587457,0.7791374340183478,0.8193168859360133,0.8291071981573604,0.8476463539099097,0.8400807483339033,0.8351166432633108,0.410389510914233,0.887173246523314,0.8044116704469007,0.6854252296275354,0.7718333942870897,0.8531730164253476,0.8014724193557285,0.7887085425219325,0.7337874546561465,0.8034871498028926,0.7444985315360494,0.7584674143538959,0.8747056093249475,0.7861096001948512,0.8231913109483383,0.902542900854733,0.7711991581643259,0.736239453330966,0.8166047940433824,0.7859464420856441,0.8100372125744437,0.8343831629091224,0.818720202498332,0.8521004561253,0.8077390526618768,0.818914675473314,0.8561026379423785,0.7774226860697341,0.8503662426649063,0.8269592792438677,0.8039942611900907,0.7146748423235967,0.7387927974727475,0.775833789595242,0.7935554199679641,0.7819501694600612,0.8057783441104346,0.789058332243105,0.8115074684534916,0.777003356116148,0.8708320069616049,0.7873274624056096,0.7696636890590693,0.7719361864879687,0.7891293704509669,0.7996839932572831,0.7199063767646982,0.833579027952873,0.8402980607508209,0.7390828100307867,0.7694069605326898,0.8224160620450678,0.8219743252200827,0.8177530775501032,0.5503199221231359,0.7982703209863493,0.8093867411150876,0.8516455101370692,0.8301702899743622,0.8124826360337609,0.8642003345081387,0.8371489728708701
