,Raga,Taokas Ts82,Chuukese,Proto-Mon-Khmer,Jawe,Muyuw,Novol (Usus - Dixon Reef),Hoanya Ts82,Dayak Ngaju,Saliba,Saek,Surigaonon,"Bontok, Guina-ang",Kapampangan,Kavalan F69,Tagalog,Gumawana,Kilivila,Molima,Babuza Ts82,Wedau,Sowa,Pazih F69,Maisin,Mota,Bwaidoga,Motu,Yami,Rapanui (Easter Island),Neve'ei,Itawis,Tomoip,Sudest,Papora Ts82,Novol (Bangir),Mwotlap,Kusaie,Lenakel,Suau,Shan,Itbayaten,Tawala,Wogeo,Neve'ei (Vinmavis),Itbayat,Siraya F69,Gapapaiwa,Tolaki (Konawe),To'ambaita,Pukapuka,Hiw,Takia,Aneityumese,Lao,Marquesan,Lala,Favorlang OL03,Lelepa,Mapun,Nahavaq (Benour),Sahu,Kuanua (Makada),Palawan Batak,Kalaw Kawaw Ya,Enga,Merei,Malagasy (Tandroy),Kerinci,Lote,Misima,Tolo,Kiribati,Tugun,Rarotongan,Dixon Reef,Nalik,S.W. Palawano,Amis (Central),Puluwatese,Proto-Lampungic,Asilulu,Proto-Chuukic,Imorod,Iraralay,"Futuna, East",Malagasy (Tanala),Äiwoo,Roro,Mangareva,Shark Bay,Malay (1600),Woleaian,'Auhelawa,Kavalan LTs,Ulithian,Puyuma (Chihpen F69),Malagasy (Sakalava),Babuyan,Saipan Carolinian,Ura
Raga,0.0,0.017107261900654043,0.011168301945096418,0.008879631363800785,0.010984297728961333,0.01086532082699567,0.01216813247369334,0.023581331691496926,0.014673636312935345,0.015433804606601386,0.009042544869599899,0.013515330773865453,0.012015566334144747,0.015243243439251684,0.012217613293301049,0.013270597292858009,0.015711388649854125,0.014210438055601671,0.015205558192013155,0.017770880956494012,0.012929070360384575,0.016475271672348534,0.011296789890689293,0.012647177112670698,0.01775873396129368,0.016132921155597047,0.017151725330564773,0.013188499507827533,0.015711119916644443,0.011820950916855288,0.012938230254616118,0.011822197274223163,0.013196808925165313,0.022142217189678372,0.013825254410303524,0.011861966665413769,0.012716521260081574,0.011617161745807349,0.01595828775643948,0.009285028071122678,0.012712241798059949,0.014932961264585027,0.016086154772799555,0.012076276933393233,0.01442291679043831,0.01287761737954686,0.012470851969528176,0.026029690115897418,0.01561413247556436,0.018429437269731647,0.012098733643188472,0.013552016902607952,0.011471816745132748,0.00850472660840139,0.01671943165453099,0.013286564812324665,0.013367027274283481,0.01691758794959191,0.014786845341414383,0.012551650852235334,0.011651578245874266,0.011925663074585792,0.016817129771909748,0.01056030088550014,0.009241990345485361,0.019785887397549946,0.012243647004936641,0.01203695596920109,0.013759632154735312,0.014812938432081086,0.021353614624801166,0.014660486620110815,0.016311847443992854,0.01715847541328381,0.011499086735316941,0.01572093277023592,0.013779541044091763,0.013011599227205102,0.013696093470900688,0.017198359693889942,0.01796748497930497,0.019346612914295076,0.015079250543787314,0.015606620190154193,0.018505301451560985,0.010307675094846026,0.012525361405984667,0.018490964164124116,0.017554523944887983,0.014977198826391747,0.013518752548428981,0.016831486242039014,0.015513090551235674,0.014920978675145712,0.01692173195281855,0.011894201964296677,0.013103479238104813,0.013212837951860887,0.015086877847934908,0.011124894025946068
Taokas Ts82,0.017107261900654043,0.0,0.012702200134837936,0.013207317152234763,0.01238269874491888,0.012255316265252576,0.014143522278336425,0.021354027898187036,0.015397319947516173,0.013548205682592459,0.011337697599048208,0.015901565621989616,0.01371886202647357,0.013998166614602403,0.014982649060366225,0.01558899973327884,0.015245555587657826,0.0120556025351528,0.01476704966627276,0.020099202320761445,0.014759274795691134,0.013612699911723565,0.01528218200341782,0.013255245278285274,0.014958976771811577,0.016815672235225978,0.015941509001557747,0.015284094572066746,0.0176851635047207,0.012053988885303738,0.01588681759924322,0.010550534287060861,0.014296843144892265,0.022338174684292503,0.012307950135151385,0.0125350959686208,0.014145495750289427,0.012181850448123316,0.013698208157188802,0.012354010517656349,0.015537510188082282,0.015371578894878758,0.016178142947716762,0.011973265927902998,0.016322159409334777,0.01764532538407637,0.012953920524166032,0.019062171077245713,0.013776629742582855,0.015835747878730554,0.011485587977577332,0.013991582235546333,0.011805642002977812,0.01076572290261075,0.013123551524978759,0.014861122658435174,0.017970413290083805,0.015202952506362152,0.018517137801794353,0.013068950907930345,0.012906833790736287,0.01560940059008669,0.017568942610467243,0.013428702137967688,0.010658549041274543,0.01459432334886686,0.011108840713970808,0.014949709148862943,0.014831949435480815,0.011035445603499955,0.015318733114385578,0.013099152392272323,0.013923674092642084,0.016020179490612744,0.012405381930247086,0.017109888327685716,0.016034595496631252,0.015920820904917095,0.013154242982315205,0.01762279181006203,0.016645333771187345,0.016108558178958527,0.016477737014274428,0.016978171595296524,0.017711206477176066,0.011552205550913276,0.011902890242496685,0.013830508942145001,0.016666945777827,0.01579229781688314,0.015326548778612645,0.01405875778975569,0.01404099856653049,0.017113282926065308,0.016068803638130926,0.017175621717166117,0.011867044658972264,0.014330626138876356,0.015163871421137875,0.012233147791812614
Chuukese,0.011168301945096418,0.012702200134837936,0.0,0.010835941893889893,0.01219220604613696,0.009428914973478024,0.012522344292973935,0.016502164897855373,0.010017113329880171,0.010068745426491868,0.007838083486751869,0.011807987544773602,0.012004339190846078,0.011945026850653339,0.01072756769074587,0.012292510261230313,0.01060386295273389,0.009609338145265548,0.011949025827693341,0.013561546529214895,0.010892955612265286,0.011483090475727082,0.00831957897092898,0.011052799882971141,0.011388813544738178,0.010398463450738067,0.011236897559781654,0.01053877459375419,0.014228579684526791,0.011013751974474666,0.013058545578058684,0.010439887245632006,0.010678799523472945,0.014501030450442641,0.009957555458966288,0.01020865513610913,0.012776598643764705,0.010300893618888729,0.01097244649968813,0.008613383311423193,0.009904649664206532,0.011870753915438771,0.01309926135210996,0.011554275291658665,0.011145003152882652,0.010822095093087573,0.011201534266100764,0.016212883247398148,0.013092288420655365,0.012299814449198664,0.01062511472079441,0.011339562665993178,0.009034558292462762,0.009082773497421726,0.013607944479957867,0.009343719803862357,0.009983187463852065,0.011918614239063582,0.01334503666152246,0.011123373832128131,0.010164137490869394,0.009703230465396978,0.011469601044169036,0.010455754826812063,0.00898652813578272,0.01198048358258776,0.009363844081413917,0.009403013262402319,0.012252664973343068,0.011968584493979298,0.01295058425711953,0.013003428326261557,0.011056128959363073,0.012632258116954878,0.010425231723209845,0.010796595201524602,0.01237476478962073,0.011365681891622206,0.025116925140639623,0.011853035783863843,0.011616405407171309,0.021434492961673008,0.01280513984039585,0.011907232412744337,0.014066191070725495,0.009916882550446714,0.011203286758518213,0.014122663163441233,0.013268308885778039,0.013185065744887802,0.011373268744368302,0.02027731911025404,0.011191478685657855,0.012457412938405087,0.021491825119635478,0.010984300401726552,0.010653861641911557,0.010969951630404394,0.029082369377486962,0.01052267334103036
Proto-Mon-Khmer,0.008879631363800785,0.013207317152234763,0.010835941893889893,0.0,0.01083229181638109,0.009595362664429305,0.010542438306914344,0.014372440126039889,0.009873538554063626,0.010782336043585127,0.010140967479601611,0.011189133136672304,0.01237968176613146,0.012314431625927711,0.012047613742311768,0.011039730371495355,0.009591606844343356,0.009051413357644223,0.009134993945457302,0.01200172443949736,0.008555446397782164,0.010291809484053168,0.011432582947632454,0.00933748167711171,0.011018657307129157,0.009020789384130598,0.010320557515038565,0.011223347002166907,0.011103337025761417,0.009195929513005605,0.011751110773649752,0.009597866801467578,0.009892918360852392,0.014851891048681481,0.009245331238181751,0.008788219184960033,0.010196213465824831,0.009290406683104551,0.010866353920897333,0.010412504325505365,0.010829157336920931,0.01066088546487202,0.010193492885582989,0.00894039397740073,0.010656727600507086,0.010118161181497685,0.009557067568584066,0.010457028790605023,0.009651683457276456,0.011065902753217964,0.009207129789537416,0.010556651789405166,0.008904154004119348,0.011929244580930228,0.00976245200440281,0.007698864464703114,0.008748609217432327,0.009606416113460437,0.00989197697323042,0.009354225189131883,0.009475249481035898,0.011091343093551705,0.010829193738432729,0.010562592816219114,0.009739129132310835,0.010243639200259594,0.008552325863401414,0.011244311654225524,0.012007379651840929,0.00956710856678728,0.009377064983107935,0.01158894349460871,0.010174936727631586,0.010480401128297552,0.008824329274192189,0.011494370986746638,0.010708975192772245,0.010941148181848137,0.012770224692402974,0.011233856307418855,0.009375317860240031,0.011961652794117593,0.011103210786562078,0.01094389152666794,0.010534143063905516,0.009457497461221959,0.008315562333183132,0.0105133973905945,0.011588197805100736,0.010537462126681633,0.011163761421812912,0.01270629804867511,0.0083577309342432,0.011123106017600663,0.013473318871623447,0.011463938739244672,0.008289621425776158,0.011846487579181544,0.011350711897463533,0.009303052263137632
Jawe,0.010984297728961333,0.01238269874491888,0.01219220604613696,0.01083229181638109,0.0,0.010621684430898904,0.010689574108992133,0.01284413491775093,0.010640602544281742,0.011022825604877606,0.008743324230627018,0.010702388473204517,0.010735486709788402,0.010627804420139754,0.009212990431899446,0.009391283919274972,0.010179549737373087,0.010607822732420393,0.0092188795434937,0.011404788292947894,0.009943474653517435,0.011445702866583219,0.011264979122788664,0.009339647620254559,0.010376611029555768,0.012115833529733559,0.010881438195961442,0.010528240444055375,0.012400712135839223,0.011615364843359862,0.012855777620505259,0.012143768256499432,0.012246935704921792,0.011451117218846346,0.010494740605699698,0.010538787981155392,0.011692836277165134,0.010664241070347977,0.009516935735437297,0.009442836713051163,0.00982217001176876,0.009992470902417384,0.009816063758574248,0.011474523713420887,0.011532278538574126,0.00981449757959333,0.011712640618348496,0.011726928804060956,0.010333470904262617,0.012355124557494759,0.011160988775228524,0.011835419725873287,0.01056883502451992,0.008395962633341324,0.012052416379385106,0.0126408172817118,0.010142141666450343,0.01231991592346338,0.01016280518467308,0.009770470028464784,0.009613753821048406,0.011115894708182288,0.011590200571171879,0.010659273505688342,0.009233445832737618,0.01170385094462222,0.00927061216001405,0.009440210413964896,0.010881724365859926,0.012301694851501933,0.011316537111961601,0.012478586679779517,0.01230231350595201,0.012625482170925682,0.010569527214460049,0.0125909225201069,0.009454647795826538,0.009126487232667195,0.014470462320466521,0.011191211455937116,0.013071686087073516,0.012446927820639513,0.011285681074213728,0.010780387991466594,0.011245200742434297,0.009489096426361875,0.009022203148101858,0.012284201256334037,0.011182628325392659,0.012132681144772615,0.010284547869510826,0.0124279500109328,0.011534927513175766,0.010856092680845923,0.012939393064707741,0.010370280175599501,0.008755644295658612,0.010145902081958919,0.014467890802043994,0.012210816830335206
Muyuw,0.01086532082699567,0.012255316265252576,0.009428914973478024,0.009595362664429305,0.010621684430898904,0.0,0.011383363640321673,0.014808182025023993,0.00950058121048046,0.012058106910800897,0.007615829652252175,0.009875863926975278,0.010001147870077897,0.011674312082631649,0.011089125627870663,0.010613234484392503,0.012837941695312003,0.017898612382199364,0.013459497199642961,0.012762131245409734,0.009924549834938389,0.00919735566119673,0.009392212454261906,0.010208974156421236,0.010858681972869644,0.013334374066833058,0.010258634369380711,0.010002082864619,0.012615406732160309,0.009562168796641127,0.010662422025010042,0.008746264791970286,0.012051999797413967,0.012631209971065312,0.011036900874696805,0.009656322091937107,0.00823683687857007,0.01030346698601992,0.011625690105329916,0.009389373236026389,0.009634824591563495,0.010114017814102459,0.01227833956132844,0.009967620613632464,0.011967094860953624,0.010496175783743445,0.011084047228787709,0.012059515261903459,0.010055826920975681,0.01046538234744977,0.010886783153703436,0.010806032048655155,0.009964332348772437,0.009495329246518172,0.010452786688891142,0.009274236549018539,0.009875549614265658,0.00955056655844134,0.00975864605861867,0.010007582884348132,0.009379103795784976,0.011427618600516352,0.010159003546489907,0.009770954887439436,0.010003285508137534,0.012769308572990828,0.009016493625506664,0.01000984611324605,0.01019152190780068,0.014302723075766181,0.01095732273441808,0.010431488780482917,0.011428081986428475,0.010206353220261246,0.010426713235210642,0.011510941653492587,0.011264643162384066,0.009360501133087975,0.010602629304544487,0.010269519375164564,0.010636045482457099,0.012545472216068,0.011482048679521234,0.011295684177771206,0.01186405954651017,0.009059459669314832,0.01120458711269247,0.013888331424840849,0.011313192995547299,0.011220348723628008,0.009798793737858285,0.010333259012326243,0.013492008327756311,0.01180101110671632,0.012385218039871316,0.01017525998915894,0.008742651574210539,0.011552627525699848,0.011016538865471347,0.009052567065972563
Novol (Usus - Dixon Reef),0.01216813247369334,0.014143522278336425,0.012522344292973935,0.010542438306914344,0.010689574108992133,0.011383363640321673,0.0,0.014543394916373876,0.011326299531125189,0.011695370637952675,0.009445286289025774,0.011774645452800051,0.011070896743784859,0.01234916684808772,0.012199121553421129,0.011553816989840279,0.011452373786869335,0.011867714545696165,0.012448663561939287,0.012849103411102347,0.010126935592875494,0.015804962065153628,0.009569023402730192,0.011600977087155786,0.012547396072816611,0.012837340053467549,0.012052722414108293,0.0096361313821214,0.012002936169139103,0.01577729659990494,0.011189596247287693,0.01095537014646044,0.013654917119513789,0.014372361743746896,0.022251153486223443,0.012919199200659249,0.010937686972977045,0.011485535321618758,0.012045199810979916,0.008897180998337036,0.008955000440986514,0.009630603950634078,0.013608845307433184,0.015631138586306957,0.012324459060698088,0.010461290881050751,0.011933709170344368,0.014366634560271619,0.011305763549698386,0.013216168531307717,0.012261417157027013,0.013210251597919363,0.010823080681247266,0.009087508678814043,0.013699031157013923,0.011151228472882389,0.011269148994685731,0.012738062040767393,0.011636184169638498,0.015669725198724796,0.011691691496045925,0.01368119739860416,0.012159798473959343,0.01014909220093187,0.009499824832012439,0.01747049825012869,0.009719534482262874,0.01221983387311042,0.012143418559031696,0.010939086439527354,0.013948509610952713,0.0107294631352216,0.012223789652363367,0.012718425734908211,0.01617611239339114,0.012902239078596126,0.012356572235483785,0.009953679647846766,0.014803852417337436,0.012065597295281108,0.012296268960483329,0.016669318128895164,0.011947281848409928,0.012362003526721472,0.01250764180994632,0.01033283807508993,0.009594824669523867,0.015502662703057786,0.01277355922640773,0.01346092122278429,0.013950323630031469,0.0146543591694955,0.01198628047648193,0.011823232671313067,0.014631323673489828,0.011149317291442442,0.010212603247189823,0.011813169114992387,0.013747111500879572,0.011758864116313347
Hoanya Ts82,0.023581331691496926,0.021354027898187036,0.016502164897855373,0.014372440126039889,0.01284413491775093,0.014808182025023993,0.014543394916373876,0.0,0.019610558307688486,0.016146655394885183,0.01209499013049328,0.023901111466383816,0.019549949203396474,0.022253529102689053,0.016053358357225232,0.021780301563842037,0.01851627930499642,0.016802811638852923,0.015883212289844312,0.02051322364291749,0.01653144938849555,0.017721837247989994,0.016444992899879926,0.01813575462543163,0.020793121239200033,0.016400557877575907,0.020735049792161078,0.019135891793660625,0.019731050167057045,0.014269208207632207,0.019696668141407025,0.013870220861576056,0.0165517932211347,0.023483249892684507,0.01600717748104368,0.012426193587801476,0.015899589442029984,0.012913967099913225,0.016310178990448423,0.011804105730162969,0.01748620364991167,0.019114355006949506,0.016322410396139842,0.014640312408473756,0.022451447619210304,0.019415760930358215,0.013891448104148496,0.02445613710403994,0.018487970892141933,0.02081180975069074,0.013828264547785869,0.014293117312281122,0.01456907017162989,0.011676494182473334,0.01725008387933961,0.016396125517572215,0.020013362535459676,0.017928331828068494,0.02143995720112579,0.013889373634534831,0.015100690381215191,0.016375471474450815,0.02277574782878228,0.01218286470777495,0.01593535869135343,0.019729898490327538,0.014619128649045816,0.016053853203967784,0.016737099682086524,0.01766926974619372,0.02089498328334852,0.01883807756860893,0.020111131093605857,0.017557631851796218,0.011794029941213913,0.018564724528388706,0.023282135056999817,0.019013675728386425,0.016520575764249323,0.023157043529269356,0.023912063109212178,0.019019991186003452,0.022922484509724117,0.022639052602128566,0.019676996136318865,0.016837631815914012,0.01073106604161522,0.014762843971076444,0.018611868826991434,0.015437481661823387,0.020018868370805663,0.018846616579489127,0.017138573931880077,0.018971127663700134,0.018011376396460225,0.016524639325412177,0.01623493405423694,0.017933186917020588,0.016444520323301848,0.016893587334538593
Dayak Ngaju,0.014673636312935345,0.015397319947516173,0.010017113329880171,0.009873538554063626,0.010640602544281742,0.00950058121048046,0.011326299531125189,0.019610558307688486,0.0,0.012725307371500487,0.008852558954680026,0.015857610158362928,0.013749042901565495,0.01522961701948735,0.01386991884879034,0.01398683584402863,0.010763999819552481,0.010882933093279545,0.011476595011181987,0.014412966859537118,0.009315619693721288,0.011810396342036436,0.012608897599581548,0.012427521186507546,0.014309829906803118,0.011802446547761644,0.012306251897290397,0.012574442388849078,0.01272896251553319,0.010142638372015421,0.015477924078586567,0.00940652925713825,0.010901748686840714,0.01909172457867446,0.011001083088230843,0.009378205311995291,0.009852075611612754,0.010063493452764534,0.013339214921105569,0.008086301209186735,0.015198101810888699,0.012346102620992214,0.012536722249309995,0.011205913992442963,0.013749012900128301,0.01408914283732966,0.01257075378351632,0.023065066637389428,0.011223035881092799,0.014126419510323791,0.009543895470260967,0.011451358327620042,0.009418629624321065,0.008775878520830581,0.012619143831606639,0.010919917264492677,0.011293783424608355,0.01269113051086418,0.017478909055822126,0.010454586164654864,0.011073330608848676,0.01125212965040211,0.01692987157849223,0.010265313934953502,0.0102505025742646,0.015787449655989695,0.013171058856770446,0.016892273289372848,0.010730363730281904,0.012691955285881035,0.01387091128176023,0.012039218980955772,0.015832979296209793,0.011762148326671914,0.010278360143623773,0.011416726685877707,0.01846248523435904,0.013523734902528194,0.011985549420161513,0.019306040075364846,0.01595818351586908,0.015419439998911775,0.015613765189719332,0.015120091178639508,0.014064155776778862,0.012871678258825533,0.010388758520747228,0.013658462146153069,0.013191715939571254,0.01420045897321902,0.018453535011834755,0.01477124088680818,0.011916617184302428,0.014911583377505094,0.011370003980169883,0.012382167976011394,0.012654961971521845,0.01367134442621012,0.011910245329608849,0.009446662984286943
Saliba,0.015433804606601386,0.013548205682592459,0.010068745426491868,0.010782336043585127,0.011022825604877606,0.012058106910800897,0.011695370637952675,0.016146655394885183,0.012725307371500487,0.0,0.007184916053328925,0.013996337955707386,0.01007143142825496,0.012525077725684277,0.01064424926326921,0.010720973879277068,0.015248384635407805,0.01468580332423242,0.01847098674540217,0.015454866570199618,0.012093173860501618,0.012083722937595782,0.009963529740817042,0.014841405615093508,0.014343767170787187,0.017799527667392224,0.015537628586685304,0.010515918058213712,0.015025561071999934,0.011556333057266013,0.010826699457064676,0.00948055255677707,0.01453694770145719,0.01470613664755834,0.011192225634818337,0.009879088480876791,0.012159553951740686,0.011159914187812111,0.022056223692817557,0.00880794456581755,0.01023834661129769,0.01787089777176356,0.012892039205274316,0.011813905340976576,0.01362611373286175,0.01327339708972144,0.014579605705220149,0.017090719728168124,0.013104960455019845,0.014595904109362748,0.010260245497685954,0.012057629715660496,0.011838150546979051,0.00886026861516693,0.013116446027902821,0.01240111629250562,0.012064840254930057,0.01303937658388722,0.012501174119121859,0.010387015480938021,0.01166356009509649,0.012071041451551832,0.013015116939512841,0.01102390330029558,0.009069366314806857,0.015861113164663754,0.010140610979556814,0.013031262131481806,0.011924444165389327,0.018138907847084624,0.016762848569976906,0.014073319900033578,0.014421399896916272,0.013570755702475776,0.010624877155304465,0.013084007842621492,0.010798445113696075,0.012235901689586057,0.01266610193569754,0.013924212649091343,0.015149011510185571,0.017187876217789964,0.014044730273587156,0.012948679690608369,0.01664220419925567,0.010831990976853596,0.01135562642826782,0.01575870113218961,0.012787869466686305,0.011916137744938486,0.011926410895275007,0.015337261710595197,0.02347683118954589,0.012460127803644899,0.014002740332165581,0.010878339298044711,0.010646307436478574,0.010620763321840537,0.013465768305791739,0.009568455838778018
