,Raga,Taokas Ts82,Chuukese,Proto-Mon-Khmer,Jawe,Muyuw,Novol (Usus - Dixon Reef),Hoanya Ts82,Dayak Ngaju,Saliba,Saek,Surigaonon,"Bontok, Guina-ang",Kapampangan,Kavalan F69,Tagalog,Gumawana,Kilivila,Molima,Babuza Ts82,Wedau,Sowa,Pazih F69,Maisin,Mota,Bwaidoga,Motu,Yami,Rapanui (Easter Island),Neve'ei,Itawis,Tomoip,Sudest,Papora Ts82,Novol (Bangir),Mwotlap,Kusaie,Lenakel,Suau,Shan,Itbayaten,Tawala,Wogeo,Neve'ei (Vinmavis),Itbayat,Siraya F69,Gapapaiwa,Tolaki (Konawe),To'ambaita,Pukapuka,Hiw,Takia,Aneityumese,Lao,Marquesan,Lala,Favorlang OL03,Lelepa,Mapun,Nahavaq (Benour),Sahu,Kuanua (Makada),Palawan Batak,Kalaw Kawaw Ya,Enga,Merei,Malagasy (Tandroy),Kerinci,Lote,Misima,Tolo,Kiribati,Tugun,Rarotongan,Dixon Reef,Nalik,S.W. Palawano,Amis (Central),Puluwatese,Proto-Lampungic,Asilulu,Proto-Chuukic,Imorod,Iraralay,"Futuna, East",Malagasy (Tanala),Äiwoo,Roro,Mangareva,Shark Bay,Malay (1600),Woleaian,'Auhelawa,Kavalan LTs,Ulithian,Puyuma (Chihpen F69),Malagasy (Sakalava),Babuyan,Saipan Carolinian,Ura
Raga,0.0,0.8017241379310345,0.641025641025641,0.6666666666666667,0.6402439024390244,0.6903225806451613,0.5729729729729729,0.7142857142857143,0.7696335078534031,0.7700534759358288,0.8866666666666667,0.7272727272727273,0.7486910994764397,0.7135135135135136,0.7857142857142857,0.7044334975369457,0.703448275862069,0.7044025157232705,0.7633136094674556,0.7925925925925926,0.8154761904761905,0.4869109947643979,0.8693181818181819,0.6111111111111112,0.4336734693877551,0.75,0.6140350877192983,0.75,0.5935828877005347,0.46153846153846156,0.7287234042553192,0.5520833333333333,0.7115384615384616,0.7884615384615384,0.5885714285714285,0.47058823529411764,0.5692307692307692,0.6524064171122994,0.7836257309941521,0.9176470588235294,0.75,0.7987012987012987,0.6444444444444444,0.5191256830601093,0.7807486631016043,0.7950310559006211,0.8192771084337349,0.4626865671641791,0.6595744680851063,0.59375,0.4833333333333333,0.6890243902439024,0.6064516129032258,0.9230769230769231,0.6052631578947368,0.6601307189542484,0.8524590163934427,0.6098901098901099,0.6932515337423313,0.5595854922279793,0.0,0.5571428571428572,0.7109826589595376,,,0.5614035087719298,0.7580645161290323,0.7191011235955056,0.5,0.6666666666666667,0.6263157894736842,0.5661764705882353,0.6507936507936508,0.6130653266331658,0.543859649122807,0.6560509554140128,0.6867469879518072,0.7751479289940828,0.5987654320987654,0.6834170854271358,0.5867768595041323,0.6,0.7891891891891891,0.7888888888888889,0.6,0.743455497382199,0.6326530612244898,0.6666666666666667,0.6290322580645161,0.5308641975308642,0.6931818181818181,0.6073619631901841,0.8082191780821918,0.7989130434782609,0.65,0.7485029940119761,0.75,0.7606382978723404,0.5987261146496815,0.6369047619047619
Taokas Ts82,0.8017241379310345,0.0,0.8141592920353982,0.6666666666666667,0.7938144329896908,0.8279569892473118,0.8558558558558559,0.5432098765432098,0.831858407079646,0.8867924528301887,0.9120879120879121,0.7672413793103449,0.7631578947368421,0.7592592592592593,0.7592592592592593,0.7692307692307692,0.7682926829268293,0.85,0.8333333333333334,0.5575221238938053,0.91,0.8407079646017699,0.75,0.8,0.8571428571428572,0.826530612244898,0.7843137254901961,0.7857142857142857,0.8207547169811321,0.8245614035087719,0.7719298245614035,0.7419354838709677,0.8524590163934427,0.6458333333333333,0.8571428571428572,0.8378378378378378,0.8192771084337349,0.819047619047619,0.8823529411764706,0.9285714285714286,0.7931034482758621,0.8666666666666667,0.8048780487804879,0.8256880733944953,0.7889908256880733,0.7117117117117118,0.9042553191489362,0.6727272727272727,0.8108108108108107,0.8363636363636364,0.8108108108108107,0.8172043010752688,0.7912087912087912,0.9306930693069306,0.8468468468468469,0.7849462365591398,0.5964912280701755,0.8660714285714286,0.7395833333333333,0.8230088495575221,1.0,0.7272727272727273,0.7924528301886793,,,0.819047619047619,0.8545454545454545,0.8163265306122449,0.6923076923076923,0.8181818181818181,0.8407079646017699,0.7951807228915663,0.7415730337078652,0.8421052631578947,0.8476190476190476,0.851063829787234,0.7835051546391752,0.7570093457943925,0.7894736842105263,0.8260869565217391,0.6986301369863014,0.7920792079207921,0.7962962962962963,0.794392523364486,0.8333333333333334,0.8392857142857143,0.8235294117647058,0.8433734939759037,0.8272727272727273,0.8333333333333334,0.8181818181818181,0.7835051546391752,0.8522727272727273,0.782608695652174,0.8433734939759037,0.719626168224299,0.8518518518518519,0.8,0.8043478260869565,0.8282828282828283
Chuukese,0.641025641025641,0.8141592920353982,0.0,0.625,0.6728395061728395,0.7105263157894737,0.7445652173913043,0.6790123456790124,0.7777777777777778,0.7759562841530054,0.8835616438356164,0.7384615384615385,0.7393617021276595,0.7307692307692308,0.8170731707317074,0.73,0.7181208053691275,0.7468354430379747,0.7469879518072289,0.8015267175572519,0.7865853658536586,0.7005347593582888,0.8529411764705882,0.5977011494252873,0.6701570680628273,0.7633136094674556,0.6823529411764706,0.7845303867403315,0.6666666666666667,0.6302083333333333,0.7379679144385027,0.5833333333333333,0.7475728155339806,0.79,0.7714285714285715,0.6428571428571428,0.2595419847328244,0.7032967032967032,0.8023952095808383,0.9151515151515152,0.7927461139896373,0.7763157894736842,0.6194029850746269,0.7016574585635359,0.7923497267759563,0.7948717948717949,0.8231707317073171,0.4444444444444444,0.6595744680851063,0.6544502617801047,0.630057803468208,0.7073170731707317,0.7058823529411764,0.9217877094972067,0.6737967914438503,0.7171052631578947,0.8444444444444444,0.7127071823204421,0.71875,0.7068062827225131,0.0,0.6086956521739131,0.7455621301775148,,,0.7023809523809523,0.7783783783783784,0.7011494252873562,0.5111111111111111,0.6942148760330579,0.6505376344086021,0.3656716417910447,0.6829268292682926,0.6649746192893401,0.6951219512195121,0.6993464052287581,0.7305389221556886,0.7696969696969697,0.030303030303030276,0.6871794871794872,0.5867768595041323,0.03488372093023251,0.7955801104972375,0.7954545454545454,0.6700507614213198,0.7671957671957672,0.711340206185567,0.7083333333333333,0.6793478260869565,0.7371794871794872,0.6971428571428571,0.042424242424242475,0.8013698630136986,0.8166666666666667,0.33606557377049184,0.7654320987654322,0.7704918032786885,0.7837837837837838,0.03144654088050314,0.7212121212121212
Proto-Mon-Khmer,0.6666666666666667,0.6666666666666667,0.625,0.0,0.8888888888888888,0.8333333333333334,0.6,0.5,0.11111111111111116,0.8888888888888888,0.875,0.33333333333333337,0.625,0.4444444444444444,0.5714285714285714,0.2222222222222222,0.8,0.8333333333333334,0.875,0.6666666666666667,0.875,0.8571428571428572,0.7142857142857143,0.8,0.7777777777777778,0.8571428571428572,0.875,0.7142857142857143,0.5714285714285714,0.75,0.6666666666666667,1.0,0.8,0.6666666666666667,0.6,0.7777777777777778,0.5,0.8571428571428572,0.8571428571428572,0.875,0.625,0.7142857142857143,0.5,0.7142857142857143,0.5714285714285714,0.5,0.6666666666666667,0.19999999999999996,0.8571428571428572,0.6666666666666667,0.5714285714285714,0.6,0.8,0.875,0.7777777777777778,0.8,0.875,0.5,0.375,0.5714285714285714,,0.0,0.375,,,0.6666666666666667,0.625,0.5555555555555556,0.0,0.8571428571428572,0.7142857142857143,0.75,0.25,0.6666666666666667,0.6,0.8,0.125,0.625,0.5,0.4444444444444444,0.5,0.5,0.7142857142857143,0.7142857142857143,0.75,0.625,0.8,0.8571428571428572,0.5714285714285714,0.75,0.4,0.5714285714285714,1.0,0.6666666666666667,0.4,0.4285714285714286,0.625,0.625,0.5,1.0
Jawe,0.6402439024390244,0.7938144329896908,0.6728395061728395,0.8888888888888888,0.0,0.7480916030534351,0.743421052631579,0.7894736842105263,0.8152866242038217,0.8050314465408805,0.8951612903225806,0.7987804878048781,0.80625,0.7581699346405228,0.8633093525179856,0.7951807228915663,0.76,0.7777777777777778,0.7986577181208054,0.8103448275862069,0.8297872340425532,0.7161290322580645,0.8503401360544218,0.6962025316455696,0.6666666666666667,0.8028169014084507,0.6413793103448275,0.8,0.6903225806451613,0.68125,0.8012820512820513,0.6,0.7582417582417582,0.8314606741573034,0.7517241379310344,0.6862745098039216,0.6517857142857143,0.7324840764331211,0.7887323943661972,0.9236111111111112,0.8148148148148149,0.816793893129771,0.7017543859649122,0.6866666666666666,0.8300653594771241,0.8529411764705882,0.8357142857142857,0.55,0.7088607594936709,0.70625,0.6462585034013606,0.7659574468085106,0.6946564885496183,0.9281045751633987,0.7358490566037736,0.6717557251908397,0.8421052631578947,0.72,0.7462686567164178,0.7388535031847134,0.0,0.6166666666666667,0.7814569536423841,,,0.6906474820143884,0.8104575163398693,0.7748344370860927,0.6578947368421053,0.6728971962616823,0.759493670886076,0.5982142857142857,0.7117117117117118,0.725609756097561,0.7122302158273381,0.7380952380952381,0.7956204379562044,0.8226950354609929,0.6691176470588236,0.7730061349693251,0.6831683168316831,0.6503496503496504,0.8366013071895425,0.8378378378378378,0.7239263803680982,0.8012820512820513,0.6705882352941177,0.719626168224299,0.7236842105263157,0.6870229007633588,0.7397260273972603,0.6470588235294117,0.8346456692913385,0.8636363636363636,0.7314814814814814,0.7969924812030076,0.814569536423841,0.821656050955414,0.6564885496183206,0.7342657342657343
Muyuw,0.6903225806451613,0.8279569892473118,0.7105263157894737,0.8333333333333334,0.7480916030534351,0.0,0.7730496453900709,0.7567567567567568,0.8211920529801324,0.6709677419354838,0.8934426229508197,0.7948717948717949,0.8235294117647058,0.8169014084507042,0.8409090909090909,0.8152866242038217,0.4796747967479674,0.15714285714285714,0.5874125874125874,0.7962962962962963,0.7391304347826086,0.7733333333333333,0.8686131386861313,0.6216216216216216,0.7236842105263157,0.5915492957746479,0.6474820143884892,0.8163265306122449,0.7346938775510203,0.7207792207792207,0.8040540540540541,0.6375,0.6111111111111112,0.8192771084337349,0.7867647058823529,0.7297297297297297,0.6372549019607843,0.7549668874172185,0.6666666666666667,0.9191176470588235,0.8205128205128205,0.696969696969697,0.7327586206896552,0.7234042553191489,0.8299319727891157,0.8125,0.7153284671532847,0.6379310344827587,0.75,0.7666666666666666,0.6906474820143884,0.7536231884057971,0.7734375,0.9246575342465754,0.7417218543046358,0.6875,0.8601398601398601,0.7730496453900709,0.8,0.7516778523489933,0.5,0.6065573770491803,0.7872340425531915,,,0.7348484848484849,0.8639455782312925,0.8085106382978724,0.7142857142857143,0.5495495495495495,0.7248322147651007,0.6635514018691588,0.7864077669902912,0.7612903225806451,0.7518796992481203,0.7265625,0.7786259541984732,0.803030303030303,0.7063492063492063,0.8,0.7326732673267327,0.6818181818181819,0.8424657534246576,0.8391608391608392,0.75,0.8618421052631579,0.7560975609756098,0.7075471698113207,0.7328767123287672,0.75,0.7985611510791367,0.6929133858267716,0.6693548387096775,0.8611111111111112,0.7111111111111111,0.7952755905511811,0.8611111111111112,0.8163265306122449,0.6991869918699187,0.7753623188405797
Novol (Usus - Dixon Reef),0.5729729729729729,0.8558558558558559,0.7445652173913043,0.6,0.743421052631579,0.7730496453900709,0.0,0.7901234567901234,0.8295454545454546,0.8245614035087719,0.8985507246376812,0.7934782608695652,0.8342857142857143,0.7988165680473372,0.864516129032258,0.7914438502673797,0.7664233576642336,0.7972972972972973,0.832258064516129,0.8515625,0.8387096774193549,0.601123595505618,0.8827160493827161,0.6875,0.5824175824175823,0.825,0.740506329113924,0.813953488372093,0.7167630057803468,0.46739130434782605,0.8181818181818181,0.6555555555555556,0.7878787878787878,0.8514851485148515,0.14204545454545459,0.6337209302325582,0.6967213114754098,0.7314285714285714,0.8385093167701864,0.9290322580645162,0.8176795580110497,0.8333333333333334,0.7380952380952381,0.5083798882681565,0.8323699421965318,0.8133333333333334,0.8709677419354839,0.6666666666666667,0.752808988764045,0.7344632768361582,0.6011904761904762,0.7712418300653595,0.7054794520547945,0.9349112426035503,0.7386363636363636,0.7724137931034483,0.8816568047337279,0.625,0.7466666666666666,0.446236559139785,0.0,0.6307692307692307,0.7639751552795031,,,0.6219512195121951,0.8045977011494253,0.7592592592592593,0.47619047619047616,0.7586206896551724,0.7102272727272727,0.6666666666666667,0.728813559322034,0.75,0.12422360248447206,0.7006802721088435,0.7612903225806451,0.8343949044585988,0.7105263157894737,0.7650273224043715,0.6638655462184874,0.70625,0.8430232558139534,0.8433734939759037,0.7228260869565217,0.8068181818181819,0.7446808510638299,0.7739130434782608,0.7398843930635839,0.6428571428571428,0.7454545454545455,0.7105263157894737,0.8571428571428572,0.8757396449704142,0.7543859649122807,0.821656050955414,0.8047337278106509,0.8034682080924855,0.7210884353741497,0.7161290322580645
Hoanya Ts82,0.7142857142857143,0.5432098765432098,0.6790123456790124,0.5,0.7894736842105263,0.7567567567567568,0.7901234567901234,0.0,0.7439024390243902,0.8734177215189873,0.803030303030303,0.5952380952380952,0.6506024096385542,0.5921052631578947,0.6707317073170731,0.5952380952380952,0.6610169491525424,0.7692307692307692,0.7794117647058824,0.5061728395061729,0.8611111111111112,0.7619047619047619,0.6463414634146342,0.7380952380952381,0.7804878048780488,0.8142857142857143,0.7162162162162162,0.654320987654321,0.6883116883116883,0.7108433734939759,0.6219512195121951,0.653061224489796,0.8085106382978724,0.39743589743589747,0.8051948051948052,0.7654320987654322,0.6875,0.8227848101265822,0.8552631578947368,0.8450704225352113,0.6666666666666667,0.7777777777777778,0.7166666666666667,0.7439024390243902,0.6329113924050633,0.5897435897435898,0.8591549295774648,0.4222222222222223,0.7439024390243902,0.6835443037974683,0.7375,0.7222222222222222,0.7794117647058824,0.863013698630137,0.7228915662650602,0.7605633802816901,0.5903614457831325,0.8170731707317074,0.6388888888888888,0.7349397590361446,1.0,0.5806451612903225,0.6493506493506493,,,0.7721518987341772,0.7662337662337663,0.7162162162162162,0.5652173913043479,0.7678571428571428,0.7349397590361446,0.6825396825396826,0.6666666666666667,0.7195121951219512,0.7875,0.7777777777777778,0.6,0.6799999999999999,0.676056338028169,0.6904761904761905,0.5,0.6578947368421053,0.6582278481012658,0.6538461538461539,0.6746987951807228,0.7530864197530864,0.7592592592592593,0.828125,0.6951219512195121,0.8354430379746836,0.7125,0.6619718309859155,0.835820895522388,0.6707317073170731,0.7213114754098361,0.6363636363636364,0.736842105263158,0.6582278481012658,0.6714285714285715,0.8421052631578947
Dayak Ngaju,0.7696335078534031,0.831858407079646,0.7777777777777778,0.11111111111111116,0.8152866242038217,0.8211920529801324,0.8295454545454546,0.7439024390243902,0.0,0.8461538461538461,0.8972602739726028,0.6632124352331606,0.7258064516129032,0.6703910614525139,0.8074534161490683,0.6479591836734694,0.8028169014084507,0.8366013071895425,0.8597560975609756,0.8372093023255813,0.8950617283950617,0.8186813186813187,0.8373493975903614,0.7619047619047619,0.7925531914893618,0.8734939759036144,0.7365269461077844,0.7541899441340782,0.7845303867403315,0.7872340425531915,0.7087912087912087,0.7526881720430108,0.826530612244898,0.7941176470588236,0.8273809523809523,0.7734806629834254,0.728,0.8379888268156425,0.8545454545454545,0.9197530864197531,0.75,0.8657718120805369,0.7575757575757576,0.7931034482758621,0.7513812154696132,0.7548387096774194,0.8734177215189873,0.5606060606060606,0.8121546961325967,0.7795698924731183,0.7745664739884393,0.7784810126582279,0.8187919463087249,0.9318181818181819,0.7912087912087912,0.78,0.8700564971751412,0.8352272727272727,0.6050955414012739,0.8043478260869565,0.5,0.7878787878787878,0.688622754491018,,,0.8121212121212121,0.6666666666666667,0.5606936416184971,0.7111111111111111,0.7916666666666666,0.7783783783783784,0.734375,0.72,0.7835051546391752,0.8282208588957055,0.8053691275167785,0.6380368098159509,0.7777777777777778,0.75,0.6458333333333333,0.6694915254237288,0.7439024390243902,0.782122905027933,0.7816091954022988,0.8041237113402062,0.6486486486486487,0.7604166666666666,0.7899159663865546,0.8055555555555556,0.8089171974522293,0.5804597701149425,0.7388535031847134,0.8611111111111112,0.8238636363636364,0.7565217391304347,0.7625,0.6573033707865168,0.7486338797814207,0.7483443708609272,0.8271604938271605
Saliba,0.7700534759358288,0.8867924528301887,0.7759562841530054,0.8888888888888888,0.8050314465408805,0.6709677419354838,0.8245614035087719,0.8734177215189873,0.8461538461538461,0.0,0.9115646258503401,0.8457446808510638,0.8547486033519553,0.8497109826589595,0.8670886075949367,0.8586387434554974,0.6506849315068493,0.7207792207792207,0.6213017751479291,0.872,0.7151515151515151,0.8222222222222222,0.9141104294478528,0.5862068965517242,0.8021390374331551,0.6745562130177515,0.68125,0.8587570621468926,0.807909604519774,0.7759562841530054,0.8628571428571429,0.7473684210526316,0.5728155339805825,0.8924731182795699,0.8466257668711656,0.7909604519774012,0.7377049180327868,0.8,0.12426035502958577,0.9454545454545454,0.8655913978494624,0.6818181818181819,0.7593984962406015,0.7953216374269005,0.8735632183908046,0.8741721854304636,0.7142857142857143,0.7142857142857143,0.768361581920904,0.8111111111111111,0.7678571428571428,0.7852760736196319,0.7894736842105263,0.943502824858757,0.8,0.6845637583892618,0.9137931034482758,0.8,0.8300653594771241,0.8156424581005587,0.0,0.7101449275362319,0.8333333333333334,,,0.79375,0.8757062146892656,0.8333333333333334,0.6888888888888889,0.5573770491803278,0.7611111111111111,0.72,0.8130081300813008,0.8148148148148149,0.8,0.8095238095238095,0.8280254777070064,0.8571428571428572,0.7733333333333333,0.8351063829787234,0.7652173913043478,0.759493670886076,0.8786127167630058,0.8802395209580838,0.7936507936507937,0.8784530386740331,0.8152173913043479,0.7024793388429752,0.8171428571428572,0.8116883116883117,0.8424242424242424,0.7748344370860927,0.3445945945945946,0.8850574712643678,0.8482142857142857,0.858974358974359,0.8563218390804598,0.8700564971751412,0.7602739726027398,0.8024691358024691
