,Raga,Taokas Ts82,Chuukese,Proto-Mon-Khmer,Jawe,Muyuw,Novol (Usus - Dixon Reef),Hoanya Ts82,Dayak Ngaju,Saliba,Saek,Surigaonon,"Bontok, Guina-ang",Kapampangan,Kavalan F69,Tagalog,Gumawana,Kilivila,Molima,Babuza Ts82,Wedau,Sowa,Pazih F69,Maisin,Mota,Bwaidoga,Motu,Yami,Rapanui (Easter Island),Neve'ei,Itawis,Tomoip,Sudest,Papora Ts82,Novol (Bangir),Mwotlap,Kusaie,Lenakel,Suau,Shan,Itbayaten,Tawala,Wogeo,Neve'ei (Vinmavis),Itbayat,Siraya F69,Gapapaiwa,Tolaki (Konawe),To'ambaita,Pukapuka,Hiw,Takia,Aneityumese,Lao,Marquesan,Lala,Favorlang OL03,Lelepa,Mapun,Nahavaq (Benour),Sahu,Kuanua (Makada),Palawan Batak,Kalaw Kawaw Ya,Enga,Merei,Malagasy (Tandroy),Kerinci,Lote,Misima,Tolo,Kiribati,Tugun,Rarotongan,Dixon Reef,Nalik,S.W. Palawano,Amis (Central),Puluwatese,Proto-Lampungic,Asilulu,Proto-Chuukic,Imorod,Iraralay,"Futuna, East",Malagasy (Tanala),Äiwoo,Roro,Mangareva,Shark Bay,Malay (1600),Woleaian,'Auhelawa,Kavalan LTs,Ulithian,Puyuma (Chihpen F69),Malagasy (Sakalava),Babuyan,Saipan Carolinian,Ura
Raga,0.0,0.7880679363371669,0.8294367801510665,0.903374505076076,0.8485045455633692,0.7942611341649802,0.7965714262589257,0.7659693262904272,0.7871069142497717,0.7370171317741648,0.8857102579189963,0.773356997270041,0.8033633700701011,0.7593741311598458,0.8039277689277688,0.7670005787862935,0.7612935021090304,0.7461289242389719,0.75733283544836,0.7968362193362192,0.7448137418137416,0.7445319386495856,0.8247706617551983,0.7850404062715618,0.6716884470543013,0.7637401629709323,0.7086934596503971,0.7889887889887891,0.7381861296885927,0.8190011821785224,0.7483041748487973,0.8220976576333721,0.8177477732562478,0.8016854256854254,0.7912326200369675,0.8264588509780816,0.8389268464645349,0.8252964468481708,0.7449455781487025,0.8909330880759455,0.7756457310805136,0.7745409210970436,0.7658850280822601,0.8159401970920298,0.7664964421543365,0.8016165541027419,0.771004644510079,0.7137388092275307,0.7506064048131355,0.7548041405696904,0.8227000172544725,0.7783894446937921,0.8311202474908056,0.8860268824036941,0.7570998110853182,0.7550122830385989,0.8037607040655824,0.7481985962755191,0.7822228786171095,0.7816316183816185,0.8450414664700381,0.8389349407206553,0.8062074289347018,0.8204728898238512,0.8632378337962099,0.6997164303314037,0.8274999811407578,0.8101363739554697,0.815780600017447,0.7845767004734394,0.6953211548799781,0.7611485202831361,0.7457522655338192,0.7432180791032468,0.800235454308488,0.7893631579772881,0.7825460955843733,0.7746007481514722,0.8300485491750552,0.792978889302419,0.7561534319539246,0.7390104371638461,0.7712262605119748,0.7732869382869382,0.720621191673823,0.8180599048387512,0.8417755888770383,0.7407506736365795,0.7398271526947994,0.7775880534809105,0.7990980793400146,0.7657891305481666,0.7883746235648406,0.7926465745843737,0.7949085526466476,0.8162823141770514,0.8097876206727884,0.7700094573210146,0.8062968975468972,0.8244267815517814
Taokas Ts82,0.7880679363371669,0.0,0.8630787161556386,0.8718032900806004,0.8559687226353888,0.8300053520983752,0.8608826062826058,0.7689258096400947,0.7994495034879647,0.7931064544116012,0.8811120189027162,0.7929028766238063,0.7841370300672621,0.7615244584475352,0.7758210770710767,0.7769637627329933,0.7902179251176743,0.789917262224954,0.7946779424782389,0.7888420580281041,0.802861528271364,0.8503395398744233,0.7816247120934618,0.8310303562369673,0.7974840635554917,0.8002712973301208,0.7717323061553825,0.7892860723505878,0.8056045585807486,0.8529562599330041,0.7684663742803278,0.8696195577926342,0.8583580465655934,0.7718693500473157,0.8451685120435116,0.8620551498458471,0.8691456014626743,0.8563797093558998,0.8114855686428264,0.8441191500806879,0.7690036459267227,0.8129053308931355,0.8092914676286603,0.8613099123099119,0.7762853537646924,0.7636979642932018,0.8184370219152824,0.7911409637371173,0.7855459140342859,0.7969303346226422,0.8698354139299013,0.8338030132260895,0.8332967919102368,0.8540985707001327,0.8111314826431103,0.7881182474932473,0.7890327738752932,0.7878270840270841,0.789991403944892,0.837498940254845,0.8426317584854162,0.8628919584688813,0.8212099705849701,0.8404780115717609,0.8532374883181331,0.8103478477445415,0.8351768674034296,0.8266647010397004,0.8465408464958432,0.8102581162007387,0.7919525580239861,0.8074304678955839,0.7970983796565186,0.806267505104714,0.8591685386176907,0.8410748215370062,0.8085544797083255,0.7511594525266396,0.8646311759519303,0.7870410405566649,0.784499847595085,0.8083965690160376,0.7655360842860843,0.7812823240789338,0.8039112480972944,0.8391298154970028,0.8660600724062258,0.7858615194329478,0.8005946590592256,0.8195713445713443,0.7880082268512015,0.8295059762040888,0.8272047276395105,0.78881630858375,0.8231405414916049,0.7780074938611515,0.8150903145089188,0.7756413752476741,0.8629872554629834,0.8673651617200001
Chuukese,0.8294367801510665,0.8630787161556386,0.0,0.907961439375052,0.8686644102085279,0.8492769383394385,0.870253328847079,0.8597932139216541,0.8459065141208,0.833853351031527,0.9061392356295273,0.8423778851315085,0.8671722374847378,0.8420849652992514,0.8447854997855002,0.8454248264962557,0.83858565367815,0.864893293840663,0.8510333023219621,0.860303287981859,0.8434015151515157,0.852839848060437,0.8669997099120812,0.8415569913057351,0.8543534649632215,0.8553176453176458,0.8465839184738713,0.8535893754486719,0.8408466260067247,0.8464982335671993,0.8265036585021334,0.8778552532123962,0.8667451349654738,0.8788634920634919,0.8657988599564691,0.8724546287046289,0.8082356225572308,0.8644690558483663,0.8571622243497248,0.9051776266061982,0.8605641406366049,0.8581571135780323,0.8591941515168161,0.8367336415765736,0.8536777549935447,0.8432109173821883,0.84587936218371,0.8372619861341664,0.8136424339549345,0.840821406132411,0.8707626119754839,0.8321482596844915,0.8597212150511643,0.8928207192699948,0.8324990763396565,0.8687886382623226,0.8549525745257456,0.8286929736929738,0.8406994047619052,0.8674420995670996,0.8725056689342404,0.8766555666555668,0.8754265342500639,0.8729744881187187,0.8700298855121196,0.8519862490450726,0.8906341501001698,0.8613502215261015,0.8587300490616168,0.8466420807453418,0.8274509803921571,0.8369656385281388,0.8206387733086763,0.8369940001518947,0.8557405921169966,0.8772511606750735,0.8431045562624517,0.8248272929432355,0.5272446930579461,0.841254279489574,0.8252591346803169,0.5922123015873013,0.840797048336731,0.8446232596232599,0.8400167084377616,0.8865785256410258,0.8767368299977,0.8446894641525509,0.823561596355714,0.8280541383219951,0.8517407174665235,0.6074273283610635,0.8602564856640946,0.8505487202855625,0.77905557846034,0.8534356725146198,0.8689639042509859,0.84044827311159,0.5769791666666663,0.8749857503607511
Proto-Mon-Khmer,0.903374505076076,0.8718032900806004,0.907961439375052,0.0,0.8918406756642052,0.864713868003342,0.9199357785072073,0.8875873301615875,0.8692529256665387,0.8927020313707622,0.8945956160241877,0.8638471177944866,0.8562299688615479,0.8597706685403022,0.8521488907453818,0.8742934203667192,0.896949698851873,0.8886403508771932,0.8955813748196433,0.8872859642544682,0.8988658788658795,0.8871912401324165,0.8593564051429219,0.9001105906843618,0.8925856307435258,0.88541439938088,0.8889135718083089,0.8879011861154723,0.8956487140310673,0.9035171220655095,0.8687270036794116,0.9055904973444242,0.9192277729087545,0.871962354263239,0.9073908730158733,0.9282490197411666,0.9081886345698504,0.8839367045484068,0.9074897876744467,0.8658252306158065,0.8533196080815129,0.8933556314771788,0.9024212715389189,0.9065515135117406,0.8772229191263281,0.8928775708896193,0.8973503591924644,0.9165915596243461,0.8832812039618327,0.8935756056808688,0.9039317889317887,0.8689574314574311,0.8930894502323079,0.8618050361505861,0.8991976152502476,0.9117379148629152,0.8948349036584333,0.8763505844966517,0.8694759385235578,0.903647741147741,0.9005246913580252,0.879551687405091,0.8700798238370491,0.8814563871800715,0.8970807279140617,0.8940104891859275,0.9170254981425195,0.874861022402006,0.9038312814721806,0.8914913252122557,0.9032928064842964,0.9040791513013735,0.8891902215431627,0.8886587681324526,0.9053031154258147,0.8776447380493625,0.897428989139516,0.8693666705634793,0.9273625565016291,0.8497869674185464,0.9012871041614358,0.9004629629629629,0.8779428983714698,0.8882263247088825,0.8926608187134507,0.9168031410094907,0.9347274712354078,0.907896539910928,0.8972200887523472,0.8907814407814403,0.8845326700589857,0.9144162826420891,0.9057645346106885,0.860408875592122,0.8708626639061418,0.8679450757575752,0.9104573934837098,0.8839123080926362,0.9275105280207319,0.9036248586248585
Jawe,0.8485045455633692,0.8559687226353888,0.8686644102085279,0.8918406756642052,0.0,0.8431699116428181,0.868576429480685,0.8746355060034303,0.8542787822199589,0.8486860574950985,0.9021302219063421,0.8530881659594534,0.8721022102210221,0.8680525493025503,0.8948938875734462,0.8543664940723769,0.8643027735466956,0.8544002658534683,0.8656691313502461,0.8899363912231556,0.8684696822451922,0.8364259972300176,0.8777418936149096,0.8535307285307289,0.8572435441838426,0.8575326941819089,0.8386424057606326,0.8701485551485554,0.8317390524048818,0.8539396490154068,0.8608578868398193,0.857072475454829,0.851536838242041,0.8805327868852457,0.8604012345679013,0.8706656643848761,0.8515771265771271,0.8626524368986682,0.8561001277091702,0.8756866635543107,0.859403921161347,0.8795029695420326,0.8643820174636023,0.8649458106904915,0.8466750516750515,0.8424099754608231,0.8648108835608833,0.8586810411810408,0.8554457310614952,0.8451341351587661,0.8779731689630167,0.8494083336905124,0.8660735781202104,0.882336334202006,0.8478259015204826,0.8666197303294078,0.8659408151870468,0.819619693172325,0.8524889988998907,0.8805431605431611,0.8860638210379144,0.8864822949381775,0.8842527539248856,0.873170227418996,0.8758239313938798,0.8472588854382329,0.877208333333334,0.8898858548858554,0.8680345717975474,0.8639572310405642,0.8414345238095237,0.8348318760447477,0.8539007936507937,0.8468838632631741,0.8637455615903891,0.8690232331293785,0.855718405841559,0.8639199385468048,0.8730864738533448,0.8696478423865361,0.8474022697012649,0.8534659143040648,0.856130599472991,0.8531469456469458,0.8436136523574946,0.8979314002828858,0.8821228551426571,0.8618129791599175,0.8466738454175644,0.8584343434343433,0.8693980053096075,0.8628030966988018,0.8665712682379348,0.8789565251387916,0.8450070986361307,0.8856353473288965,0.8944167217566238,0.8637068401243663,0.8839171974522295,0.8579909886032334
Muyuw,0.7942611341649802,0.8300053520983752,0.8492769383394385,0.864713868003342,0.8431699116428181,0.0,0.8303788706930069,0.8280309773300424,0.8094280719280724,0.7464738970021666,0.8940962496109558,0.7984049554781263,0.8325608722453387,0.8095838189588189,0.8334433229813661,0.7975937257187261,0.7487081132925325,0.6451903998778987,0.7658081758737043,0.8459632294164662,0.80645108660184,0.8321955409826699,0.8500473484848485,0.8151154401154397,0.7993308434484901,0.7791244551553826,0.8176098458707156,0.8162077120410457,0.8415136618494832,0.8238319585334511,0.793522525826762,0.8640823586136095,0.8243799603174596,0.847679851510496,0.8289304294739075,0.8271853416270887,0.8633345297918166,0.8196242838569571,0.7745143963075904,0.8695455586080593,0.8119641954593413,0.8030631712391918,0.8066675680173059,0.8464173691805273,0.814061056521374,0.8211974090465709,0.8008782353044644,0.8389156009385016,0.8231001064738934,0.8399831649831653,0.8393670634920634,0.8060544469081057,0.8231296198132932,0.8759678668215254,0.8343038568766725,0.8242294448643658,0.8407674564078509,0.8069122012127193,0.8063877330867625,0.8336634471056581,0.8511416361416364,0.8521356714866335,0.8388078170336237,0.8528303687723975,0.8498682156845428,0.8162207714627073,0.8821846794273267,0.8235283936041513,0.8523663329976964,0.7566701361783328,0.8117004557598619,0.8287927821908403,0.8180555555555556,0.8304231061477441,0.8291937619184813,0.8238958673384904,0.8185639147177614,0.8247290649729674,0.8624627224627223,0.8306046676096186,0.8057076930220499,0.8274036281179138,0.8084651607257987,0.815562456866804,0.8277451882524349,0.8754758052088153,0.8569760320979836,0.8202380952380947,0.8360302101638738,0.8093206727135295,0.831151671151671,0.8287854737854735,0.7883377096491848,0.824432558852849,0.8430615680615673,0.8432329722012263,0.8715416762518217,0.8056717973384641,0.8650618947788757,0.8269105339105342
Novol (Usus - Dixon Reef),0.7965714262589257,0.8608826062826058,0.870253328847079,0.9199357785072073,0.868576429480685,0.8303788706930069,0.0,0.8395275095275093,0.8408814565064566,0.8465484429571114,0.9142124923870958,0.8344163731005838,0.8623211291632341,0.8477757919164173,0.8430761583377859,0.8328514367576868,0.8463415528712462,0.8146816580410331,0.843707661032512,0.8635368984249576,0.8548202556399276,0.7915267188951398,0.8600644263144266,0.8495809745809746,0.7739572743541002,0.8272182504026075,0.8402778431574247,0.8283536287634645,0.8232093548625804,0.7426453225137434,0.842858244821486,0.8426111865564988,0.835893121106535,0.8440001917274642,0.4138602036392092,0.8296162026630776,0.8641290028652668,0.8539691100861311,0.8280205905205905,0.9071307165057169,0.8512308953408431,0.8634025274909252,0.8523063285970045,0.7404050904050904,0.8402529058243347,0.8438873956731098,0.8501842765078055,0.817951648351648,0.8306991147305285,0.8338423356747966,0.843970022847028,0.8380074895864367,0.8516708889637066,0.9073089902454985,0.8388982216613794,0.8422428638530326,0.873043593364449,0.7944412169955644,0.8345498507340611,0.7124352668855282,0.860945638155583,0.8486755143005144,0.8559823090346347,0.8749791071501604,0.888129300491938,0.7929347319347323,0.8383431727846622,0.866407417368956,0.830780968197049,0.8464983359720198,0.80589967058221,0.83025876170613,0.8292234811971657,0.8331102434505575,0.44721369781250014,0.8299112897378792,0.8245809890341144,0.8476736814038403,0.8614008676508674,0.8414722977557203,0.8390687120525828,0.8409260772897135,0.8261574791747203,0.8311937735467145,0.8201096460258761,0.8535622710622716,0.8620589271112832,0.8343774331184405,0.8352459780267264,0.8234657571682885,0.8267624010356561,0.8182176604757248,0.8573602323602324,0.850615077185758,0.8363799571426687,0.8573644340593493,0.8469099109151466,0.8495426704443099,0.8537380212380211,0.8527177927177928
Hoanya Ts82,0.7659693262904272,0.7689258096400947,0.8597932139216541,0.8875873301615875,0.8746355060034303,0.8280309773300424,0.8395275095275093,0.0,0.7813511921310083,0.8166431455051569,0.900109561220672,0.7842891563075045,0.814820493292715,0.7365972966890397,0.7913471449185729,0.7593818261249451,0.8105613136863139,0.7949090775479659,0.8228296955569678,0.7856384269935671,0.8239743372096311,0.8221470934773683,0.8095703362058502,0.8280380839204367,0.8009291850413343,0.8141314131413141,0.7812893019315036,0.7910481374073602,0.8330780854365758,0.8405953373843277,0.748058294586072,0.8644146246210462,0.8776326577462938,0.7228553391053387,0.8307497777194749,0.8739309874630974,0.8862050490763356,0.8591815679079827,0.8040465883323021,0.8715622807365925,0.7791900486344929,0.8206002875120518,0.8021987105728934,0.8266563886846904,0.7825447840599353,0.766358482787054,0.8135686764552741,0.7869808331764852,0.8037958219150875,0.8244177890011218,0.8680433036565106,0.8209536386141887,0.837376288133863,0.8607321546573885,0.8171209448987222,0.8034380924086801,0.8078800571856125,0.8020409621824716,0.7914980917317361,0.8285690462577253,0.8510864135864133,0.8550418999960279,0.8120118938300755,0.8698105892031124,0.8731743950493949,0.8128554249982818,0.8604413847469402,0.8438203463203463,0.8588523536225855,0.808336108336108,0.790153831896951,0.8044008203730423,0.7969747073913737,0.8090055204734099,0.8460665423900715,0.8234548454845485,0.7996264794875908,0.7585400062035578,0.8614544319600497,0.8163409984510894,0.7621634131068095,0.8242546971928414,0.7772557940925287,0.777115543186972,0.7742811469875686,0.8330160066271175,0.8716423739359513,0.8043803720434153,0.7875298377634821,0.8020518597049208,0.8094834054834056,0.830288758860187,0.8320019041668526,0.7857052669552661,0.8373893253522882,0.7961959733388303,0.8246235503179941,0.775833161547447,0.8409090909090907,0.8627435064935061
Dayak Ngaju,0.7871069142497717,0.7994495034879647,0.8459065141208,0.8692529256665387,0.8542787822199589,0.8094280719280724,0.8408814565064566,0.7813511921310083,0.0,0.7776891125356601,0.8948370669244456,0.7196068692445498,0.7492195304695307,0.6960336356764928,0.7804155454155449,0.7158659726516865,0.7946257125712569,0.8064855665334136,0.8023246285753869,0.8284552154195007,0.8141902958152957,0.833159678012619,0.8001197542434657,0.8304295648516753,0.7874833702882482,0.8006890331890335,0.7835981137416546,0.7578940880448413,0.8054789627449727,0.830730599449811,0.658380938072013,0.8632430598502031,0.8565391607764484,0.7793396825396822,0.8352574810455247,0.8364328379953376,0.8478960458859961,0.8486902397000925,0.8167767273236022,0.8797541743970319,0.7221590942605435,0.8167550066147006,0.8135606455891924,0.8479622326480964,0.7460955418850158,0.7766747984980027,0.809334626725931,0.7479591836734689,0.8189189282939284,0.7901033575674731,0.8798047661909052,0.8011322681612537,0.8399227957603591,0.8735679779158044,0.8063774389861349,0.800849662033872,0.825946573751452,0.7867567617567617,0.7126595626595632,0.8503600288600294,0.8488559059987637,0.8620637959923673,0.7650920974450384,0.8441867827685138,0.8746390665172392,0.7957149802069589,0.782694402415276,0.7150028642490958,0.8527357289322947,0.8096637963485788,0.7842859618594917,0.8067621614496621,0.7615786856078116,0.8078426092780168,0.8467069759204593,0.8282453808269021,0.7226232034844472,0.7487358052575439,0.8571780629009544,0.698277947542653,0.7589818637848188,0.8069303013905287,0.7481153179565879,0.7546267696267693,0.7762867913585623,0.7913074772449771,0.8859917323685441,0.8151156822297756,0.814430544945251,0.8236392410499549,0.7079553212617725,0.8129274674455393,0.8245588650479952,0.7758656282579726,0.8453818227627747,0.7950767069188122,0.7861143906598451,0.7395900860724978,0.846201975108225,0.8326282467532466
Saliba,0.7370171317741648,0.7931064544116012,0.833853351031527,0.8927020313707622,0.8486860574950985,0.7464738970021666,0.8465484429571114,0.8166431455051569,0.7776891125356601,0.0,0.9004156430843285,0.7845538082195183,0.8125412042126534,0.7913941817394506,0.8167349070721832,0.7857520830027225,0.6949597779711911,0.7037562642002964,0.6613836655225372,0.8327403556943196,0.7118917961123842,0.8153580063888742,0.838960110559375,0.7493994247615291,0.7750907724508873,0.6746277143335966,0.709705977124595,0.7948285907937103,0.7936948501698283,0.8450095566645174,0.756687265002007,0.8418023196689011,0.7777696012491627,0.8257884060251347,0.8349975538000746,0.8479745134299678,0.8409539988892032,0.8424272827851501,0.3852379829287,0.8835851307292055,0.7994238019273883,0.6774920803319656,0.7856253587543629,0.8470276515709951,0.8042400245075465,0.7988055049343248,0.7251563414207267,0.7827285459638398,0.7657294265161199,0.7585594255354391,0.8422159515321277,0.7807424832460695,0.8381053205777,0.8795213733146259,0.7760285402775411,0.75469163103838,0.8267660878353433,0.7867586805486838,0.794560350378141,0.8550082146379547,0.832865581297454,0.855439498299686,0.8484998277385821,0.8276390292161819,0.8479871013164534,0.7788016950018846,0.8439666671266207,0.8236682841249789,0.8207014658954133,0.7261880542730922,0.7705870692111227,0.7701839775082242,0.7862010007764859,0.7802503290224593,0.8401115178791981,0.838520415617812,0.8145135172905026,0.7822485206488075,0.8319216711074668,0.8033550939127528,0.7664050418454902,0.7496983502561597,0.792982242321657,0.8028507279712677,0.7598732593949614,0.8309944495166881,0.8191155560524286,0.7302350104166132,0.7903934300993123,0.8133915813800263,0.8238477788863514,0.7781541589289079,0.5369754703594221,0.8212774518456987,0.8190626924170338,0.8057972459466384,0.8312096447876005,0.7975613768617335,0.798996171157377,0.8435684152448859
