,Raga,Taokas Ts82,Chuukese,Proto-Mon-Khmer,Jawe,Muyuw,Novol (Usus - Dixon Reef),Hoanya Ts82,Dayak Ngaju,Saliba,Saek,Surigaonon,"Bontok, Guina-ang",Kapampangan,Kavalan F69,Tagalog,Gumawana,Kilivila,Molima,Babuza Ts82,Wedau,Sowa,Pazih F69,Maisin,Mota,Bwaidoga,Motu,Yami,Rapanui (Easter Island),Neve'ei,Itawis,Tomoip,Sudest,Papora Ts82,Novol (Bangir),Mwotlap,Kusaie,Lenakel,Suau,Shan,Itbayaten,Tawala,Wogeo,Neve'ei (Vinmavis),Itbayat,Siraya F69,Gapapaiwa,Tolaki (Konawe),To'ambaita,Pukapuka,Hiw,Takia,Aneityumese,Lao,Marquesan,Lala,Favorlang OL03,Lelepa,Mapun,Nahavaq (Benour),Sahu,Kuanua (Makada),Palawan Batak,Kalaw Kawaw Ya,Enga,Merei,Malagasy (Tandroy),Kerinci,Lote,Misima,Tolo,Kiribati,Tugun,Rarotongan,Dixon Reef,Nalik,S.W. Palawano,Amis (Central),Puluwatese,Proto-Lampungic,Asilulu,Proto-Chuukic,Imorod,Iraralay,"Futuna, East",Malagasy (Tanala),Äiwoo,Roro,Mangareva,Shark Bay,Malay (1600),Woleaian,'Auhelawa,Kavalan LTs,Ulithian,Puyuma (Chihpen F69),Malagasy (Sakalava),Babuyan,Saipan Carolinian,Ura
Raga,0.0,0.36852570506416676,0.4661664525950245,0.5255281658423018,0.4039883727383728,0.38433144046124845,0.3747385282541534,0.3902249890782001,0.36312230097944387,0.3411563508323955,0.4121540945570072,0.38716381578700465,0.44035243602551283,0.3579923119208835,0.41745904245904275,0.3634616838188271,0.3340856728819215,0.33098586687103454,0.3612649293971309,0.3626432694289839,0.34413289488289517,0.4000974651709946,0.41452679622782707,0.3797239332415215,0.32108206156986646,0.34879303033149184,0.3420358482559441,0.3804615122454318,0.35141832715724375,0.40752424914986496,0.3717000186298434,0.3995554115196976,0.3932412847667084,0.38443694083694085,0.37585421824552273,0.37679222486914793,0.44129906943977315,0.4534724990390016,0.3526640532499911,0.5306570942285233,0.40735865047459274,0.3339932247457758,0.35768643281619056,0.3915246039591589,0.3552594043383518,0.35078265810310005,0.3819234207821164,0.30283044023645517,0.36526953281761004,0.36017709032063133,0.44614034205618364,0.4236878526733602,0.3688580455077921,0.5767140133082165,0.3833300220981378,0.36985616722458864,0.36072807274026797,0.36030398376552236,0.3950980910115525,0.39892625430125433,0.36235639360639355,0.47006922971208714,0.4304592614753042,0.3726643148518152,0.4677412407107839,0.36483948315499154,0.40924937387316046,0.4030467020416769,0.4046472777989951,0.36776345635041297,0.3333002917561743,0.40170410518968225,0.35383459582488735,0.39095461954313665,0.3953576230261626,0.40951231739275196,0.35769129860038984,0.35509934241818336,0.4446993602114086,0.40369907869907895,0.3694276167182573,0.3660749130919585,0.35363864530531225,0.3537838137838138,0.36436922991946924,0.4050368835224606,0.41304971196275536,0.33624971225642375,0.37926595463360174,0.4114982405160976,0.3526005953425312,0.4144471826700744,0.3555922187715663,0.38489477030146935,0.3867624659291325,0.4111098696625012,0.37960524324160716,0.36096056372438323,0.442896148989899,0.4042474469974473
Taokas Ts82,0.36852570506416676,0.0,0.47349917176840267,0.5060276091788692,0.4398460886556126,0.4360563209400418,0.40100932400932415,0.38083707297993,0.36956137879214823,0.37235555625950856,0.4154554317345018,0.3564859774162101,0.41607840910166494,0.3616056379517917,0.36783050283050306,0.3523645371722294,0.3778990143338516,0.371904228250382,0.39632248621373667,0.34872547779524526,0.37264195276490353,0.4441976843139637,0.3896277767371517,0.39132511198626896,0.37516092813711865,0.3637609122903238,0.3844891646814725,0.3582331646847777,0.38218829230733997,0.4359902371530278,0.3670809595228199,0.4370851584313125,0.3928078734682508,0.37490626134693955,0.39424126799126796,0.4292781077664798,0.45983740739838325,0.48355628058009004,0.40607321665789425,0.5663370390293468,0.37081245677399516,0.40991907821176116,0.3799001536264159,0.45406418026418016,0.3425264359148657,0.3656009114342449,0.3856211421428811,0.37565071146801926,0.40179424365470867,0.4001356762895225,0.48835464622866187,0.4404894251048097,0.41387970106457483,0.5765510747932624,0.41853904063206404,0.357946544196544,0.37211657546303223,0.40208715728715744,0.39250267389802285,0.4358198450718135,0.38169587864709803,0.4926067522221368,0.42425678488178503,0.42265661855505615,0.4591913686671751,0.393529817290148,0.45244141708985447,0.4008868446368447,0.44944308522264437,0.38539964134226423,0.38134557241700134,0.4641344873903015,0.4024501338454827,0.42867956763305615,0.432096834427343,0.42319524546415305,0.35583971583971585,0.3419968052780552,0.4443260617788918,0.40903530063686305,0.39800156853728297,0.4037682327505337,0.34503808691308685,0.361192950176001,0.4155395853070273,0.4370509048243422,0.4508815970354432,0.3761063011063011,0.3972491200837657,0.4225124725124724,0.36418709848461905,0.3964139895743668,0.35543598913164126,0.36702993389039923,0.3777504410483132,0.38526428404477187,0.4063764185857208,0.36034549440061264,0.45091523902203495,0.4110998768256831
Chuukese,0.4661664525950245,0.47349917176840267,0.0,0.5553561040472033,0.46573685029567385,0.48857982295482305,0.48400082267269773,0.4795924513814423,0.4718152614581185,0.4616989322445419,0.46645091693635404,0.4656544743501267,0.5034980644355648,0.4661370507799079,0.47521450021450035,0.47594413522984963,0.45572899395202693,0.4847155768208399,0.4876742016826918,0.4657227891156461,0.4929790764790766,0.46133268964151314,0.4856047589295011,0.4441034537768206,0.4641405342624855,0.4827280127280127,0.4589687027486072,0.45800430725053853,0.444058370474627,0.47632144811947774,0.481526279466783,0.4734443070157354,0.475955071294054,0.46811111111111126,0.4967361442904922,0.4672764735264737,0.46342625827550454,0.5231272558858765,0.44896916596135333,0.5269879062736206,0.5057682119276321,0.4735362709852504,0.48876496677102227,0.48245676661907055,0.4670952001215161,0.4749882407340973,0.4941971072405854,0.44806551009558504,0.4364900724275725,0.46969645187348547,0.5048188747446172,0.43983886483886475,0.4998302458962359,0.5353558009355119,0.4559896759172122,0.4715204678362572,0.47465156794425073,0.46928256928256934,0.4631448412698417,0.48897276334776374,0.4737872529964366,0.5187340701626414,0.5042144130379427,0.4850879288980253,0.4993823294584713,0.4602240896358545,0.4833612652180614,0.4771034102692392,0.48768892395308183,0.47480374396135283,0.4534391534391533,0.45374070374070374,0.45084951456310685,0.4671294282538309,0.47453732285192934,0.47537016123972675,0.4577971735866474,0.47325883992550655,0.3476740294511377,0.4882586367880488,0.4559517179591072,0.38419913419913415,0.4661154248455834,0.47761631761631756,0.45470684286473784,0.47515262515262524,0.47603693944273623,0.43157025673804206,0.4657524120759417,0.4761337868480724,0.48638788033949354,0.3845644482692677,0.4783636049940397,0.4471386800334174,0.4463784672118006,0.49268588137009195,0.4723090439597619,0.4807110951583314,0.3673933531746031,0.4767269119769119
Proto-Mon-Khmer,0.5255281658423018,0.5060276091788692,0.5553561040472033,0.0,0.49037220948985666,0.51906850459482,0.5199121037692462,0.5191865615132939,0.49935140484878693,0.5184824360366153,0.48586125808348046,0.4550187969924813,0.49593928001822735,0.5055561221791589,0.4844704353476282,0.49718614718614684,0.5117512469414641,0.5311967418546371,0.5238805367357909,0.505055618047744,0.5204502554502553,0.4693531958237844,0.4995000162134993,0.5009042414780122,0.5177130325814535,0.5165728514192204,0.5058574466469207,0.5089263910692488,0.48099694423223804,0.518940557650235,0.5103445670914871,0.4906831969659191,0.5104002337131174,0.4730896193285574,0.5225127551020404,0.5335499724243178,0.54339208980093,0.5404498574711342,0.5030794883777836,0.4900087260034909,0.5280286732667682,0.5152580384624588,0.5101037562975277,0.5047780975337791,0.5252291584677947,0.526775717588971,0.5259329689154248,0.5125411018853641,0.5173014739768665,0.5012500949343057,0.5134555984555985,0.49123148781043524,0.5337713873428159,0.5229618548990279,0.512104693552062,0.509239718614719,0.5028244631185804,0.49643201679718535,0.47186948853615573,0.5052306820163964,0.48324735449735456,0.5063879256287637,0.5074525185796861,0.5232488418014731,0.516830607663941,0.49134642160957953,0.5095976865923674,0.4705499570253668,0.5031083919673394,0.5157161314138061,0.5162234042553191,0.5026155355520439,0.4745989304812837,0.5168371686792733,0.5322409866888388,0.5077365312914447,0.501136173767753,0.5135268100693633,0.523026384946915,0.48105889724310785,0.5059604982064874,0.5024323927101706,0.5259125953411673,0.513217305949864,0.5056620718462821,0.5153838078441256,0.4962543041908123,0.4948869475847892,0.4962150304892241,0.5167811355311358,0.4965532518164099,0.5149999999999998,0.5218017025709335,0.4740255962769055,0.505627705627706,0.5224116161616159,0.5069089390142029,0.5079213288229681,0.5330660835762876,0.5250308100308099
Jawe,0.4039883727383728,0.4398460886556126,0.46573685029567385,0.49037220948985666,0.0,0.44999413558526863,0.43915146614614703,0.4445839799613384,0.40358610615963564,0.39985127802427145,0.4144515517649848,0.4028268898318404,0.4698975254668321,0.4123793962029256,0.457752345873893,0.4152537277537277,0.4130537175888497,0.4260516850418329,0.44528614746106987,0.4195582399626517,0.4264555172718439,0.39336092439107545,0.4487459630316773,0.41759055759055785,0.41030364052752133,0.42784511154929994,0.3872925241151843,0.415433455433455,0.3629347132487836,0.43718698529304606,0.41623575938187096,0.3919496081260787,0.4153500321130376,0.44108118657299,0.4431150793650792,0.4324399874892485,0.44660765160765137,0.4666642681718057,0.40629125602529853,0.4887002023031434,0.4814929982009191,0.41024710243460255,0.4184380117206012,0.4224803122409506,0.43809211809211807,0.42909196892247753,0.4438473871807206,0.39969363969363975,0.41691830337150565,0.4089270608975043,0.4438038836515995,0.4297352949580674,0.4584105301721883,0.5114802969280579,0.3891051613958017,0.3790919952210274,0.41265454255404005,0.41777948659527614,0.3932362879145059,0.44804362304362333,0.38382679496669136,0.4657027204821321,0.4634725474889408,0.4147348683062969,0.42082501551413487,0.42438750862663926,0.449375,0.4258054908054908,0.4341616372541979,0.4268694885361551,0.4097896825396826,0.4056277056277056,0.37100793650793645,0.40648319934034227,0.45113451363451346,0.42584685643344844,0.4017878946450374,0.4292000426328786,0.4260955302366346,0.4402867512163999,0.4118876447394037,0.41595788604459116,0.42833870537674873,0.4301370851370847,0.38049300179842044,0.4358419770548487,0.39282696126755534,0.3705890292624988,0.390795246071628,0.4320586820586822,0.3951671410234947,0.45637598597721285,0.4201228555395223,0.41433067479865554,0.4075929223106643,0.44451271548045723,0.43344191386063313,0.44002413680248714,0.4289126478616925,0.41799389669287623
Muyuw,0.38433144046124845,0.4360563209400418,0.48857982295482305,0.51906850459482,0.44999413558526863,0.0,0.43711072232014647,0.43316206119944434,0.4058177933177935,0.37491841396752884,0.4670498755057577,0.4202710027100274,0.477243131733423,0.41029664779664815,0.4545505521049,0.40844710844710863,0.3937858729481974,0.3717185592185594,0.40426584235636337,0.4504367934224049,0.40061309433168757,0.4499189204634754,0.42976735359547824,0.43154962321629,0.4132022253345784,0.4131000728938875,0.4040641055133813,0.421045775212442,0.41923221195609284,0.45400684169340877,0.43245736291949405,0.4256999077311581,0.4088924963924965,0.4400025601638503,0.43896636274353673,0.4281985948248084,0.4863444205152748,0.4598797379737974,0.3921182293564494,0.5247195512820517,0.4207397914922188,0.4136538702227479,0.4252444046925703,0.4563269917217284,0.4103056261786423,0.41846497698453017,0.4284172566959452,0.41767126003767224,0.41865009316465635,0.4567915176610829,0.4696884920634919,0.4499039172209905,0.42034650440262683,0.5668253968253973,0.44986760812003534,0.41616276140085706,0.4155377668308705,0.417035641387973,0.43727461858529854,0.4527261125251075,0.43895197395197416,0.4847156582733507,0.48000725379757636,0.431935442442689,0.4836799113584831,0.4310931899641575,0.4740808823529413,0.4137373008585129,0.42879181566610847,0.37528623471246425,0.42219079050762237,0.4660686266268794,0.3918106131341426,0.4683660274239984,0.4442674678629735,0.4203260158178193,0.41383092068188226,0.41651336468409644,0.47061087061087076,0.44547972654408285,0.42703907066530833,0.43999092970521564,0.43061158699456586,0.4240644017817931,0.4287631316616825,0.48499190938511333,0.4516737056980959,0.401040326040326,0.4426078322117925,0.4401809334845049,0.38900842400842395,0.4647835497835498,0.4012760311940642,0.4290430181734529,0.4452106094963237,0.4464558662971364,0.46716195774166774,0.4094436427769764,0.4709743436158531,0.4206791125541126
Novol (Usus - Dixon Reef),0.3747385282541534,0.40100932400932415,0.48400082267269773,0.5199121037692462,0.43915146614614703,0.43711072232014647,0.0,0.43611555111555095,0.4217764584952084,0.39311013891509283,0.45099132202306813,0.42480183559130963,0.4714687943635311,0.4086787633662634,0.45889091528626397,0.41269187987938033,0.3797223752261748,0.4036119407213159,0.41164973859950743,0.4237576064068602,0.4098024622614789,0.42935535225008914,0.4582100923767591,0.4308971386840242,0.3823081092922365,0.4262052813728792,0.40096480017946007,0.41411657559198567,0.4049813313926219,0.4138490164805955,0.44705802798952343,0.4291044820341698,0.40392623974941055,0.42068360931997306,0.2261970840700122,0.41485626641876655,0.4635273456702031,0.4748701652956971,0.3982000599275883,0.549350403647278,0.45152369445563206,0.4035530997547573,0.426512924393087,0.39761391761391773,0.421684363255792,0.41965650090650086,0.4313975077210371,0.38435200355200366,0.3871923451766386,0.42562520376656526,0.47267511157885483,0.4201400500084712,0.4298123760830945,0.5643173845554795,0.41131811171284893,0.4126808533588192,0.423643513349396,0.4052543169390995,0.4380367147472412,0.3724278630037794,0.41226913050117486,0.4833585251554,0.48023328415770283,0.43014776889776923,0.4968787775106455,0.4060456527599384,0.46035235450129053,0.4354852412544718,0.4486934941353699,0.4062062044518186,0.40043990401133245,0.45053833593307285,0.4083410011041591,0.4527235417287774,0.28746602698698526,0.4134235546085256,0.40566842012154547,0.407533750787719,0.45233788647250195,0.44581296600013204,0.41758892988731705,0.4172488454306636,0.4119121938087456,0.4160939550645433,0.42915589355379935,0.48464241898452426,0.44188799856339117,0.40025018945882246,0.42238259363927827,0.4243332616750337,0.40822751215193076,0.4246208092982288,0.39975763352956334,0.4203105794728834,0.41936916661492923,0.4532688592010626,0.43952747368977735,0.4106044228995049,0.45092418692418695,0.4257326457326458
Hoanya Ts82,0.3902249890782001,0.38083707297993,0.4795924513814423,0.5191865615132939,0.4445839799613384,0.43316206119944434,0.43611555111555095,0.0,0.36575717860121526,0.392351299058281,0.4394747741969964,0.3898983279717225,0.46422091283202405,0.38563684022399614,0.41730296158867597,0.39743569376596904,0.39378330003329987,0.4024998663887552,0.41536605930545334,0.378127065042953,0.4157764620999916,0.46284436766088133,0.43199956844816656,0.4303065670712729,0.3985795875982794,0.4034732044633034,0.39955121331268123,0.3781126101514451,0.4359331182444388,0.4348143955942122,0.3820546737213405,0.4390465930603544,0.41523883313656057,0.3674808802308803,0.42901671841065786,0.42525682777976354,0.49214778620719213,0.4928960976130788,0.4067936164364735,0.5613057177277359,0.39928584789695887,0.41437783349548046,0.41902030733730095,0.44677264559340035,0.3829831504073929,0.3657781900639044,0.39674878386218587,0.3826392810088463,0.4115559262348252,0.4265104751215862,0.48266049987748094,0.4286627745343342,0.4124888859737345,0.5633083168129901,0.4234791700069477,0.41227576889341605,0.35920080433969315,0.42181586757058437,0.40814520370595125,0.4305361567154019,0.3993516899766901,0.49924076942425544,0.47022388386024744,0.42586023789294813,0.46339667277167257,0.4299745756888614,0.47651915985249316,0.4116298701298701,0.47575093486776077,0.3977192945942945,0.40251631650714226,0.45641200363422596,0.39713871519427085,0.47508770536293465,0.4506320476908711,0.44294750903661795,0.3623548519381852,0.37378052892071595,0.4260380692964963,0.41990448389530943,0.4021428911759102,0.42806228708290567,0.3807123715286982,0.3781793886385726,0.43023518275811834,0.4698977205921651,0.4521555661463919,0.4176857864357864,0.4537052770697629,0.4319532791471567,0.404670274170274,0.43340984412413,0.3905851593995922,0.37693335471113243,0.40514002458446885,0.41802721088435363,0.4356454759232537,0.39868446368446364,0.47389356224583495,0.41470508658008653
Dayak Ngaju,0.36312230097944387,0.36956137879214823,0.4718152614581185,0.49935140484878693,0.40358610615963564,0.4058177933177935,0.4217764584952084,0.36575717860121526,0.0,0.37214225025393005,0.400332555793721,0.32987779799374023,0.39809773559773576,0.32986806843949745,0.387938067938068,0.3175264550264552,0.3684799682975816,0.3809625648142397,0.38772637392255355,0.3628401360544218,0.3760553751803753,0.42232019070254395,0.3802901994912306,0.38369136447025903,0.384540879175026,0.36785335035335026,0.35839443650448444,0.3369636784209652,0.3733046510140109,0.40001066257223916,0.3225838989950359,0.4194782003710577,0.3988078932994187,0.36840317460317457,0.4205679133668263,0.38596854534354574,0.4438375136867601,0.4692462709704089,0.38950535864598396,0.5285331203188351,0.3673955271781361,0.37868617352035755,0.3708839923372799,0.41289540883781733,0.3049077238550924,0.3456110034839317,0.3737327738686433,0.31574282025409844,0.39862810800310855,0.3858839592093182,0.4780544125841157,0.41533973273103725,0.38592615788047285,0.5703046684930743,0.4046700615541197,0.3580293536872486,0.3692557104142473,0.3944398194398197,0.34891930985680997,0.4103322510822512,0.3418886385723123,0.4762058047772334,0.4047723221520014,0.38010407060887835,0.4283408779601676,0.3910335208463552,0.41764936115664253,0.3234804977267288,0.4211429592782354,0.3614012798795409,0.363771114506409,0.4199975371850373,0.3471252048921952,0.4192393863446497,0.42229069307721,0.4150283894849112,0.3145955055045964,0.32108940442273765,0.41568307863488607,0.36197602778485144,0.3595938202465298,0.39062397514102076,0.32539701627003215,0.3249715299715301,0.3893456092020686,0.39648701992452,0.42959425169570126,0.3711743513756937,0.3956414636561694,0.4101510427403286,0.30770008068395166,0.40827465706983807,0.3655277542505804,0.3403463893894521,0.365724707391374,0.37695602642971066,0.37980005109191706,0.3129145003516864,0.44412067099567115,0.3767296176046179
Saliba,0.3411563508323955,0.37235555625950856,0.4616989322445419,0.5184824360366153,0.39985127802427145,0.37491841396752884,0.39311013891509283,0.392351299058281,0.37214225025393005,0.0,0.4103407093675261,0.38154280041654537,0.44902810643843666,0.3946777173759272,0.41762083291814756,0.37996098893370844,0.33022678391422916,0.35123375181199323,0.3417044220182488,0.3722449959342544,0.35569310754604866,0.41932252048734303,0.42490720404323334,0.3630367054694575,0.3640706511725163,0.3428834346481407,0.3357974169367662,0.3874721199580794,0.3896772820390028,0.4092800258954779,0.4056454661171471,0.38864043348271826,0.35953330484736296,0.4094149288195199,0.3877575855517035,0.3793072377524118,0.4494270220009245,0.4588723649575579,0.21386232529385116,0.5161610010714864,0.4207475570818473,0.33116615444046427,0.35441133399054203,0.4071093844236261,0.3846670260625208,0.3819049847804368,0.3614578329811709,0.35058614239126146,0.3847434737354788,0.3919829876640273,0.4614394788218318,0.41477930566165877,0.3897731312183388,0.5575929213039935,0.39557166055595533,0.3699783773158387,0.3796521011748485,0.3983187010084301,0.4009244525600335,0.4294933940350484,0.3551917303718024,0.4804937697520815,0.4637756706960862,0.3886233477772271,0.446500926166498,0.3956803966291633,0.44697142179755933,0.4128621312999083,0.39137236772573564,0.3457056060237005,0.367333750181741,0.4155208779742497,0.3817529415109827,0.4154538676311947,0.40776980785242517,0.39508360224367944,0.38303580026167133,0.38341297631111126,0.4328964087482741,0.4274834836424819,0.371435362266026,0.3755707124368383,0.3970753234043579,0.3955145777469791,0.37960414086199346,0.426064177333905,0.4014864571105606,0.3390550078074754,0.3989276413113112,0.42578684251478355,0.3900951239909775,0.3954221452069371,0.28417071703516716,0.37734160154205854,0.39644268481803496,0.42923049129865204,0.41302181066601434,0.39259425380191865,0.43239485859552873,0.40524468423733134
