,Raga,Taokas Ts82,Chuukese,Proto-Mon-Khmer,Jawe,Muyuw,Novol (Usus - Dixon Reef),Hoanya Ts82,Dayak Ngaju,Saliba,Saek,Surigaonon,"Bontok, Guina-ang",Kapampangan,Kavalan F69,Tagalog,Gumawana,Kilivila,Molima,Babuza Ts82,Wedau,Sowa,Pazih F69,Maisin,Mota,Bwaidoga,Motu,Yami,Rapanui (Easter Island),Neve'ei,Itawis,Tomoip,Sudest,Papora Ts82,Novol (Bangir),Mwotlap,Kusaie,Lenakel,Suau,Shan,Itbayaten,Tawala,Wogeo,Neve'ei (Vinmavis),Itbayat,Siraya F69,Gapapaiwa,Tolaki (Konawe),To'ambaita,Pukapuka,Hiw,Takia,Aneityumese,Lao,Marquesan,Lala,Favorlang OL03,Lelepa,Mapun,Nahavaq (Benour),Sahu,Kuanua (Makada),Palawan Batak,Kalaw Kawaw Ya,Enga,Merei,Malagasy (Tandroy),Kerinci,Lote,Misima,Tolo,Kiribati,Tugun,Rarotongan,Dixon Reef,Nalik,S.W. Palawano,Amis (Central),Puluwatese,Proto-Lampungic,Asilulu,Proto-Chuukic,Imorod,Iraralay,"Futuna, East",Malagasy (Tanala),Äiwoo,Roro,Mangareva,Shark Bay,Malay (1600),Woleaian,'Auhelawa,Kavalan LTs,Ulithian,Puyuma (Chihpen F69),Malagasy (Sakalava),Babuyan,Saipan Carolinian,Ura
Raga,0.0,0.7612586665471278,0.8005239799882657,0.877810431279018,0.8090722662413844,0.7760437345773886,0.7490577203467826,0.7578236493374105,0.7705694305694307,0.7341456513238266,0.8693558935670587,0.7604534622650573,0.794080552193533,0.7494361194361195,0.8037021837021847,0.7435122351193781,0.7291432241113063,0.7331363878014591,0.7459439951935403,0.7627775200989485,0.7421135253635248,0.7370868374544848,0.8246240657967462,0.7397747004530921,0.6982787402299595,0.7461560056752364,0.721133080104372,0.7579735591042118,0.7257146008069655,0.7612176001338561,0.7595490110364255,0.778363805506662,0.7725227848109203,0.765458441558441,0.7513707458000932,0.7645064003838038,0.7976792470511064,0.8104491977644691,0.729621897200022,0.866538263323978,0.7782324157324161,0.7461170667484438,0.7460615032954996,0.7629007990264528,0.7424611645664279,0.7717914605345543,0.742510961260961,0.6947963064504419,0.7378564210895939,0.7379592563205004,0.7736751422394985,0.7642579039318167,0.7835094755780035,0.8719494005725896,0.7481321147987811,0.747030177424914,0.780116898683972,0.7339213991137068,0.7719940449507756,0.7518060411810413,0.7656443046749168,0.7997439134939138,0.8025745570531667,0.7912299105808723,0.8335314783918849,0.695033108602627,0.772693568567355,0.7866084362315516,0.7674263270390419,0.7567479093973657,0.6990360946243303,0.7502921624315856,0.7278555115326953,0.7455952009181676,0.757855736647872,0.779442228966685,0.7337450893072894,0.754170105257062,0.8064540630052679,0.7885617242234888,0.7376831570181327,0.747502521153089,0.7455178346051359,0.7518936618936616,0.7250022571792908,0.7731820062949869,0.7768600763165974,0.7341016924909539,0.7446513861955041,0.7472267150838572,0.7648067807341992,0.7513718293085758,0.7578246557186767,0.7757425124051919,0.7738380116356305,0.8044066313803154,0.7520600810672583,0.7548413549041685,0.7931385281385277,0.7868589882339885
Taokas Ts82,0.7612586665471278,0.0,0.8160533803803034,0.8622743736189119,0.8118874731969971,0.8010258582932998,0.8007575313575311,0.763834815977673,0.7692079288233136,0.7646255998392941,0.8549688898526112,0.7839584511096134,0.793061202363528,0.7531754783677858,0.7752748293373293,0.7480290222597911,0.7660884135821473,0.7629053318476396,0.7762713566161413,0.762762087180692,0.7748197840410951,0.8151869771055814,0.7856081310182875,0.7744991808008331,0.7733898817232151,0.7674535548485129,0.7608278900586587,0.7534621404581081,0.7586037419370749,0.7948577477647242,0.7639771189189796,0.8050533227456301,0.799852283460774,0.7579976873409077,0.7896278374403374,0.7941874340130153,0.819490908820177,0.8324863408196739,0.7715539221083569,0.8447171631787019,0.7715995649649492,0.779911749271505,0.7766316000915349,0.797748107448107,0.7389813240019851,0.7545858462525128,0.7818241058458449,0.7408054819112508,0.7764342892249868,0.7644057758480831,0.7977775723838714,0.8004478427555348,0.7893020378314494,0.8511380221341163,0.7681359983685564,0.7685562007437008,0.7730641187334095,0.7617203463203468,0.766849311326055,0.7875909305043162,0.7786884524689396,0.8241136641136642,0.8111836658711656,0.8039735112977296,0.8151015091539286,0.7756395234701013,0.8031606414418914,0.7918871753246751,0.7810501179913925,0.7711086386291303,0.7591849068039536,0.7748672408556133,0.761546614453591,0.7751212719235971,0.8057579661393218,0.8205765406395659,0.7480449998719227,0.7494503326534576,0.8122404063441798,0.793853152056277,0.7503995067983159,0.7816230843885708,0.7367818639693638,0.745410733334462,0.7618772592609796,0.8101948073627763,0.7915566698259004,0.7849660260374547,0.7703156751385093,0.7633761883761883,0.765093274494101,0.7863405069772993,0.7780704078530164,0.775434008282845,0.7965552178318134,0.7641302690083176,0.7802515099026724,0.756088967899991,0.8302764253006971,0.7960348119622312
Chuukese,0.8005239799882657,0.8160533803803034,0.0,0.8792684700407217,0.8199754901960786,0.8269593253968252,0.8292725864991491,0.8262376385082805,0.8156062323919467,0.8070703687711362,0.8708265911542618,0.8154244306418221,0.8382009483571987,0.8137707001992716,0.8165776490776495,0.80981833642548,0.8076340857769986,0.8224605073289288,0.8207318837587179,0.8168140589569158,0.8163849206349205,0.8104904082845263,0.8430878185388494,0.7937923745712692,0.8149999999999998,0.8210055222555223,0.8125309831051462,0.8121370742601899,0.8062099264993349,0.8099592867450016,0.806503275095952,0.8218622448979597,0.8346964397811856,0.8328761904761908,0.8235107434835693,0.8334452006327014,0.7847720746590094,0.8349713504885927,0.8186604772542276,0.873325774754346,0.8404473344690742,0.825189039984958,0.8227878242800384,0.8083700694302794,0.8159623490544543,0.8116240343450288,0.8164700034265249,0.800966159988716,0.7804778554778559,0.8089006952643318,0.8374449944994504,0.8031216234114784,0.8278738252723028,0.8589487002530483,0.8029902196568867,0.8286894319131163,0.8231426635694931,0.7913630813630812,0.8039377289377296,0.8320245310245314,0.8134009556203438,0.8426107820750685,0.8469824293353703,0.8349028375470691,0.8335058342672554,0.8110538154655801,0.8415308599167821,0.8213347582066176,0.8246139581808196,0.8194530710835054,0.794060262994087,0.7993692939005442,0.789579480659578,0.7988598389914178,0.8233417019933875,0.8420716285526069,0.8068632391000812,0.8015835881777909,0.586005928475808,0.8297609321506383,0.7922116642252108,0.6295183982683983,0.8010336738511342,0.8065522990522993,0.8039321789321795,0.8414300976800976,0.8298635073997398,0.7967934377330351,0.7985215424553658,0.798757558578987,0.8172882822076376,0.6354298144960789,0.8315634018759022,0.8131844763423717,0.734673406399597,0.8268222639933169,0.8210685978030473,0.8025743798356864,0.6333878968253962,0.8383428932178932
Proto-Mon-Khmer,0.877810431279018,0.8622743736189119,0.8792684700407217,0.0,0.8608161446396745,0.850214076858814,0.8896872730444166,0.8633045447401885,0.8580701366696137,0.8760125413801887,0.8700596287897878,0.8514598997493737,0.8828016062884487,0.8649471529052679,0.8473150468764505,0.8641246043078508,0.8781206866804696,0.8670060568086885,0.8757605327953981,0.8570366204224475,0.8731286806286808,0.8585996519820049,0.8654370754089855,0.8693240957585225,0.8703091060985798,0.8687008250904904,0.8704465709728874,0.8551085818942963,0.865032149223326,0.86610032739065,0.8598462023853963,0.8699339600190389,0.8960828707761226,0.847180081472117,0.881408257747544,0.8791508956430427,0.8682002543190394,0.8789165474005899,0.8783490932993778,0.8450729244577416,0.8692966498522057,0.8677834136397674,0.866795862730119,0.8652195657877478,0.8594470475862516,0.8683857725273391,0.8637651659581489,0.88198939039103,0.8629109909869082,0.8585461760461768,0.8605437580437586,0.8454392610313662,0.8716208394779832,0.8475130890052359,0.8603109098503845,0.887966720779221,0.8604267464561579,0.8493454812977289,0.8463624338624339,0.8704201552415844,0.8585813492063489,0.8787445320822289,0.8815682631434076,0.8704978354978363,0.8661469857303193,0.8525828460038989,0.8862968591692,0.8505257492962411,0.8653818397408636,0.8710628922111485,0.874046985815604,0.8741262778961195,0.859673414820474,0.864274796840587,0.8870426863525026,0.8702656206991468,0.8587468671679201,0.8528741427012705,0.8897245874067069,0.8496083959899753,0.8614347328251073,0.8781550068587104,0.8558350855493709,0.8655576739152321,0.8600626566416046,0.8895009238263211,0.8773148148148151,0.8930926687221654,0.8614929052429059,0.8618805962555964,0.8517737947562514,0.8817050691244245,0.8898022917253687,0.8514158979473119,0.8479208231382146,0.8728230970418476,0.8808521303258149,0.8660616705698672,0.8872772918691287,0.8756261456261459
Jawe,0.8090722662413844,0.8118874731969971,0.8199754901960786,0.8608161446396745,0.0,0.8038001407459537,0.8234399022962854,0.8298112526886112,0.8165572036895572,0.798265863294116,0.8696448313985636,0.8057529860128881,0.8425926521223557,0.8226822673513856,0.8517966763132517,0.8172187561893449,0.8126526514717807,0.8074517163187115,0.8230800881265279,0.8205780228758168,0.8233125717819596,0.8028651555033469,0.8395406254533245,0.8172364672364673,0.8149944720840248,0.8128628279806294,0.7999917365065151,0.8170085470085474,0.7753808726170537,0.8048805151077882,0.820552105803481,0.8050990471946352,0.8113737498853111,0.8386693338537602,0.8211662257495591,0.8258867705912041,0.8094993894993896,0.8320142169388405,0.8064348218271091,0.8402719421101784,0.8324169985679895,0.8168255428021052,0.8172549840706808,0.802264955788892,0.8171555321555325,0.8095044472163117,0.8066485751902419,0.8191999666999669,0.8095146574826383,0.8047841184540693,0.8264644267182342,0.8072417956081327,0.8249219620333613,0.848890468293454,0.7898659359250494,0.8102513227513227,0.8221424583233635,0.7986056049213943,0.7917049740688357,0.8275159100159103,0.8101025988979353,0.8327611726508795,0.8420342180588091,0.8204621835471595,0.8243846682965853,0.8201216356107665,0.8325089285714296,0.83737271987272,0.8047646421565104,0.8137433862433869,0.8118849206349207,0.7907360378895038,0.794651785714286,0.7990263294450489,0.8276424325993293,0.8238239336703027,0.8120040810311754,0.8173281389699305,0.8304216574155223,0.8213358458961474,0.7944510960842619,0.8142708046609785,0.8063085239036328,0.8100911896745231,0.7874130111814844,0.8410390146157481,0.8160190126155477,0.8092511607817725,0.787801108718194,0.8015091390091386,0.8206038283386351,0.8159107508033887,0.818267797017797,0.8268091719446409,0.807345488293069,0.8409487540535934,0.8332421683406913,0.8197001309114714,0.8343418259023359,0.8215134213858708
Muyuw,0.7760437345773886,0.8010258582932998,0.8269593253968252,0.850214076858814,0.8038001407459537,0.0,0.793833602406901,0.7920904640530809,0.7792598026973029,0.74001273648618,0.8600577731092437,0.7722493224932249,0.8072861941187187,0.7842817772505281,0.8071115855762602,0.7721826784326781,0.7373643896344528,0.6746174832112334,0.7519561769295083,0.8077852004110998,0.7877064797290927,0.7958919106196332,0.8307868491462248,0.7881553631553632,0.7757654450669164,0.7741418232397614,0.7944894946706539,0.7789482122815455,0.8036888967859118,0.7765483549065642,0.7823401491533716,0.8115484342046848,0.8040945165945164,0.7983742959549412,0.800617965971227,0.7839813705711767,0.8210526840551969,0.7993794915205804,0.7632313621515191,0.8403769841269841,0.7914248036214061,0.783062682074162,0.7904967019811223,0.7899982911825019,0.7840301159745605,0.7890766201520393,0.776997683555061,0.7943137757069049,0.788431821684249,0.799286603090951,0.7936339285714289,0.7931217224509907,0.788930025473393,0.8449341850561363,0.7996885463511682,0.793585705887293,0.805927457189773,0.7721035297460169,0.787864077669903,0.7851400762832932,0.8074745624745626,0.8038615230922918,0.8261307390339648,0.8152175354168109,0.816052746856318,0.785375064004096,0.8445373288204172,0.7836254864663955,0.797386158297146,0.7459601873536302,0.7780027109853846,0.7963628132924258,0.778182384064737,0.7998770486089326,0.7955629810264643,0.805893635811669,0.7731902179017566,0.7950372594884795,0.8310858585858589,0.807403151029389,0.7817226880655096,0.8076043083900231,0.7677532352399379,0.774939515496581,0.7846129514607778,0.8458872707659122,0.7981306972160633,0.7903877091377088,0.8024117590330468,0.7809547430083141,0.7808212433212434,0.8082347282347283,0.7621017946837615,0.788293650793651,0.8179619322476465,0.8231303015033176,0.8375399090978807,0.7722312409812416,0.8407120395327945,0.7943975468975473
Novol (Usus - Dixon Reef),0.7490577203467826,0.8007575313575311,0.8292725864991491,0.8896872730444166,0.8234399022962854,0.793833602406901,0.0,0.8017682185539325,0.7913441665394791,0.7907886184163272,0.8885866485072839,0.7827631871052926,0.8250727415858999,0.7790751710673581,0.8204401460942161,0.7684723407379656,0.7748414397935929,0.7756210369491616,0.7845773819336277,0.8045387344827649,0.7944582891304208,0.7604115183062552,0.8394445446528782,0.7864529141168487,0.7357355827593921,0.7766716213643587,0.7756970777913178,0.7831162234850763,0.78679246007875,0.7252192471271423,0.7916063391418448,0.7982287171740302,0.7875514729173262,0.7881379983652709,0.5091798394975192,0.7673454222282348,0.8064524989662352,0.8264436361510833,0.7799479234872484,0.8838506111943616,0.804995397272884,0.7983430895378407,0.7960583898787903,0.7095249195249195,0.7851661671661676,0.7979490251811676,0.7951751598075125,0.7518236652236651,0.7804536432154233,0.7956628595372054,0.7915991094467033,0.7881915599020861,0.803399409062393,0.8844465499227405,0.7928016866174763,0.7816983236474755,0.8006028359637989,0.7530376703610402,0.7856444140654666,0.677710531179118,0.7803779477122017,0.8182086721149227,0.8235256507058839,0.8321670106209587,0.8503677793512958,0.7460876742305308,0.8092196515068855,0.8118307440422826,0.7893853204804689,0.7824007052077226,0.7588675287087988,0.7916121013489439,0.7801980037506352,0.7982492057099387,0.5342419473407496,0.7932196416300462,0.7679311140248641,0.8002017382969764,0.8123302623302627,0.8006714319548546,0.7818162833283797,0.7945246504337412,0.7685148982562774,0.774296520472991,0.7706953096351001,0.805451821570243,0.8027801532382682,0.7785680546471913,0.7998625038063533,0.7809913978426639,0.7812696589586122,0.7866454513228708,0.7937569902482179,0.805092464254768,0.8038342072240378,0.8157319689099353,0.797044048156613,0.793914805595134,0.809292133792134,0.7860138810138814
Hoanya Ts82,0.7578236493374105,0.763834815977673,0.8262376385082805,0.8633045447401885,0.8298112526886112,0.7920904640530809,0.8017682185539325,0.0,0.778843315196526,0.7750636320798492,0.8803768505157398,0.7777456743053074,0.8014426674148899,0.7395546222381081,0.7940857555143274,0.7524999338072731,0.7879370629370632,0.7771459636042968,0.7892352036291427,0.7575589000822648,0.801875017683841,0.7978556866171549,0.8061587166727354,0.785866720425544,0.78575170934984,0.7799881773891674,0.7616608417067133,0.758426147746536,0.7900130006262077,0.7951982141202322,0.7633160306771416,0.8059595794114143,0.8144562508198869,0.7297166305916306,0.7917129447432476,0.7921407720719644,0.8250266098038375,0.8255571996138032,0.7631524427952999,0.8614031865178655,0.7800869141146919,0.7971696604049546,0.7863454711289681,0.7840677666149363,0.7659351451018118,0.7480224008795435,0.7774618422814299,0.7496425826588868,0.7755379813866051,0.7844381313131312,0.8081129693157998,0.7824690218038841,0.8081085020478959,0.8506372132540361,0.7831614758698094,0.768536556036556,0.7736520295548073,0.7718299912875388,0.7662335976588316,0.7863821843774672,0.7845277985902986,0.8102964441267192,0.8136234276385789,0.826163841350757,0.8261660214785216,0.7829956022813166,0.8244055969750416,0.8108672438672437,0.7981458924505161,0.7771258255633253,0.7577142658564676,0.785922218213885,0.7708026027470468,0.7816684207739252,0.8077804956481429,0.8010104581886762,0.7389205958650407,0.760006776712384,0.8337591403602639,0.8107293445596196,0.7443442171036507,0.8017076136921495,0.7517198221279852,0.7593524531024533,0.7622651813018787,0.8170865400032069,0.7985207580391064,0.7756589575883054,0.785588697387763,0.7771206967635539,0.7788614718614716,0.7906087959659388,0.8013297555823327,0.7796743893966114,0.8004106318921133,0.79129045557617,0.7863317366789586,0.758308939737511,0.8130476846385936,0.8020344239094238
Dayak Ngaju,0.7705694305694307,0.7692079288233136,0.8156062323919467,0.8580701366696137,0.8165572036895572,0.7792598026973029,0.7913441665394791,0.778843315196526,0.0,0.7656309369011848,0.8616271067120583,0.7123049856745509,0.7609564914252416,0.7113072047000618,0.7731322881322887,0.7070813577956433,0.7758198329231417,0.7829104441544638,0.7879033703813869,0.7917106009070296,0.7856626984126984,0.7985958145884627,0.7953445537852757,0.7779748308642775,0.7709714743251334,0.7831013893513892,0.7664368393435376,0.7362901266795743,0.7717815469970645,0.7791421427505172,0.6910741573594358,0.8100337129801418,0.8035967014780575,0.766963492063492,0.7973308922357837,0.7795326201576207,0.7976775109312803,0.8245090295582904,0.7767049826620142,0.8478107606679043,0.7366146400566692,0.7806719747089644,0.7787549192285357,0.7922436783693328,0.7202319245082406,0.7582013903837109,0.7826797221498311,0.7237597511093751,0.7814066142191144,0.7613117677112891,0.8172360986098615,0.7850283372022504,0.8005864482387328,0.8527690640009484,0.7702719918299633,0.77183118781803,0.7842445799457994,0.7763795463795466,0.7096969003219005,0.7819032287157291,0.7707842823276497,0.8210998194926766,0.7663939818351588,0.8095780154674392,0.820904842478447,0.7680052048367558,0.7557399585312209,0.6953070728824495,0.7888197451288886,0.7734014249639245,0.7580535749653399,0.7872605692918195,0.7456979643872849,0.7824599377230962,0.80606848675669,0.8026790615785181,0.6800648978878646,0.7443041593403921,0.8162215963420785,0.731842939195881,0.7513906557317882,0.7950020702151384,0.7267060247218977,0.735745778245778,0.76099019932752,0.7563286539849042,0.8013012282939816,0.7770193546200255,0.7813762626262627,0.7820420403009688,0.6811533150242831,0.7946853431040178,0.7800109989648034,0.7609846758770201,0.8089964268535694,0.7957252980937197,0.7467335694608425,0.7198826020434065,0.8206281565656564,0.7853769841269844
Saliba,0.7341456513238266,0.7646255998392941,0.8070703687711362,0.8760125413801887,0.798265863294116,0.74001273648618,0.7907886184163272,0.7750636320798492,0.7656309369011848,0.0,0.8698156854839383,0.7620758931806279,0.8049362191291898,0.7797491262644715,0.8034800184896097,0.7642886205865752,0.6984157125838415,0.7177958091150552,0.6943020661031568,0.7903550638525062,0.7288578431372543,0.784156188728117,0.8254618466704864,0.7370432343791786,0.7537701983971709,0.7044622316681137,0.7213367974433076,0.7712463407778217,0.7583805835013031,0.7893159140635002,0.7785559617802152,0.7824504995967062,0.7636068645914106,0.7946516214270876,0.7785999248184124,0.7798418734954998,0.7942444267354692,0.8215287690512266,0.5344041453933458,0.8539006914433173,0.7965309590775873,0.6966525109044616,0.7631599399435739,0.7878395911793745,0.7783349429391354,0.7752232491100378,0.724205761913562,0.7419576158013513,0.751204619829691,0.7443401698720091,0.7948143992445462,0.7729772877369717,0.7999085951870369,0.8547205817858932,0.7552821187315758,0.7435235146690257,0.7952786391463587,0.7603330789059225,0.7713248595816745,0.7943010329804899,0.7517401495230123,0.8158608780944673,0.8322161930725946,0.7942077620999192,0.8125126677343761,0.7505670066984106,0.807993712113895,0.7871937727428411,0.7614361302553974,0.7221890015887773,0.7493023672115111,0.7612847578055613,0.7591299581483579,0.7589521201243071,0.786299571031891,0.8044066045030364,0.7683883308454984,0.7651936036225854,0.8107151332447243,0.8023077412783294,0.7340205519824766,0.7567010111254526,0.7690325092928109,0.7728409537353602,0.7365388042536815,0.8060261044550859,0.7585642446187639,0.7365767824314998,0.7645746312998282,0.7903907838387877,0.7891171611880383,0.7515707715088986,0.6295858083022399,0.789352760080202,0.7926607174856476,0.8047940725111591,0.7844240160024,0.7742256406694908,0.7926842687592874,0.7927917515491046
